bidding_profile,contribution,demand
"2, [47, 50]",1.0,17
"5, [19, 24]",1.0,11
"10, [69, 74]",3.0,6
"5, [94, 95]",7.0,6
"4, [85, 88]",1.0,19
"5, [19, 22]",2.0,16
"1, [20, 22]",1.0,8
"11, [16, 19]",4.0,10
"1, [36, 37]",1.0,15
"3, [91, 96]",1.0,14
"1, [17, 17]",2.0,6
"3, [12, 14]",2.0,16
"4, [5, 9]",2.0,8
"95, [29, 30]",4.0,18
"4, [56, 58]",2.0,17
"4, [51, 52]",2.0,6
"271, [86, 89]",2.0,9
"99, [1, 6]",3.0,7
"2, [30, 30]",3.0,13
"3, [18, 21]",1.0,10
"6, [91, 97]",1.0,8
"62, [67, 69]",23.0,6
"3, [1, 4]",1.0,14
"96, [22, 23]",1.0,15
"1, [92, 92]",1.0,10
"261, [84, 88]",1.0,6
"4, [84, 87]",1.0,6
"3, [77, 78]",2.0,10
"8, [26, 31]",3.0,7
"7, [91, 97]",1.0,7
"192, [58, 60]",1.0,15
"12, [69, 71]",6.0,6
"8, [33, 38]",2.0,14
"178, [77, 82]",2.0,10
"33, [94, 97]",11.0,15
"3, [27, 29]",2.0,12
"6, [3, 5]",4.0,8
"3, [60, 61]",2.0,18
"10, [30, 34]",4.0,10
"1, [43, 44]",1.0,15
"7, [50, 53]",2.0,10
"5, [76, 80]",1.0,12
"7, [49, 53]",2.0,18
"1, [46, 47]",1.0,6
"2, [75, 77]",1.0,6
"87, [65, 69]",40.0,9
"6, [94, 94]",8.0,7
"169, [64, 67]",56.0,19
"4, [85, 90]",1.0,18
"4, [36, 39]",1.0,17
"2, [48, 49]",1.0,12
"4, [89, 94]",2.0,20
"4, [36, 42]",1.0,18
"2, [88, 89]",3.0,20
"222, [62, 68]",1.0,17
"2, [27, 31]",1.0,6
"3, [59, 61]",2.0,12
"9, [29, 35]",2.0,12
"25, [70, 73]",8.0,6
"2, [79, 80]",1.0,11
"12, [50, 55]",2.0,18
"3, [46, 50]",1.0,10
"234, [2, 4]",2.0,20
"5, [76, 80]",1.0,19
"4, [1, 4]",3.0,19
"6, [28, 30]",5.0,16
"17, [71, 75]",4.0,13
"124, [92, 93]",1.0,7
"12, [66, 69]",5.0,10
"2, [63, 63]",4.0,10
"13, [23, 26]",5.0,10
"20, [33, 36]",5.0,19
"38, [94, 97]",14.0,13
"1, [90, 92]",1.0,20
"2, [36, 39]",1.0,12
"31, [68, 73]",8.0,18
"109, [95, 98]",14.0,17
"8, [11, 13]",4.0,8
"209, [48, 51]",2.0,18
"86, [58, 61]",1.0,7
"285, [21, 21]",2.0,13
"11, [1, 4]",4.0,13
"16, [39, 41]",6.0,15
"308, [25, 28]",3.0,15
"3, [89, 89]",3.0,11
"10, [18, 22]",2.0,19
"4, [44, 48]",1.0,14
"97, [96, 100]",7.0,8
"4, [83, 87]",1.0,6
"8, [73, 75]",4.0,19
"3, [2, 4]",3.0,8
"4, [23, 27]",1.0,15
"248, [35, 39]",1.0,17
"7, [33, 35]",5.0,11
"148, [7, 11]",1.0,11
"15, [17, 20]",4.0,15
"4, [47, 50]",1.0,14
"13, [51, 57]",2.0,16
"2, [83, 84]",1.0,14
"15, [26, 28]",5.0,12
"5, [77, 79]",2.0,
"84, [20, 26]",2.0,
"3, [89, 92]",2.0,
"1, [80, 80]",2.0,
"11, [79, 85]",2.0,
"1, [85, 85]",1.0,
"3, [98, 98]",8.0,
"9, [86, 91]",4.0,
"10, [53, 58]",2.0,
"2, [4, 5]",2.0,
"109, [66, 72]",22.0,
"5, [43, 47]",1.0,
"266, [48, 49]",1.0,
"16, [86, 89]",8.0,
"3, [22, 26]",1.0,
"6, [60, 63]",2.0,
"12, [31, 33]",8.0,
"1, [4, 4]",3.0,
"12, [33, 36]",3.0,
"3, [22, 25]",1.0,
"97, [18, 21]",2.0,
"7, [75, 78]",2.0,
"1, [11, 11]",2.0,
"8, [72, 74]",3.0,
"2, [82, 83]",1.0,
"24, [24, 28]",7.0,
"2, [32, 33]",1.0,
"2, [39, 40]",3.0,
"26, [96, 97]",13.0,
"62, [89, 93]",3.0,
"43, [69, 72]",6.0,
"167, [61, 64]",1.0,
"6, [9, 14]",1.0,
"3, [62, 67]",1.0,
"2, [60, 65]",1.0,
"4, [78, 81]",2.0,
"2, [13, 16]",1.0,
"6, [18, 23]",1.0,
"5, [58, 62]",2.0,
"6, [60, 63]",2.0,
"352, [10, 12]",4.0,
"4, [13, 17]",2.0,
"7, [33, 36]",4.0,
"5, [28, 31]",2.0,
"17, [93, 96]",10.0,
"5, [74, 78]",1.0,
"278, [95, 98]",11.0,
"8, [17, 21]",3.0,
"192, [71, 71]",8.0,
"20, [97, 100]",8.0,
"4, [22, 27]",1.0,
"2, [51, 55]",1.0,
"5, [58, 62]",2.0,
"3, [51, 54]",2.0,
"4, [95, 98]",2.0,
"2, [44, 46]",1.0,
"12, [3, 8]",2.0,
"3, [90, 93]",1.0,
"276, [4, 10]",3.0,
"2, [35, 39]",1.0,
"3, [15, 21]",1.0,
"10, [99, 100]",8.0,
"1, [62, 62]",1.0,
"3, [24, 27]",1.0,
"2, [7, 9]",1.0,
"347, [85, 87]",1.0,
"4, [58, 62]",1.0,
"4, [40, 43]",2.0,
"234, [8, 9]",1.0,
"4, [1, 5]",1.0,
"14, [2, 5]",4.0,
"4, [17, 18]",3.0,
"326, [60, 63]",2.0,
"8, [69, 69]",8.0,
"4, [80, 84]",2.0,
"2, [85, 87]",1.0,
"3, [87, 88]",4.0,
"9, [89, 93]",3.0,
"299, [21, 21]",1.0,
"4, [23, 23]",10.0,
"5, [13, 18]",1.0,
"3, [8, 12]",1.0,
"141, [7, 10]",1.0,
"81, [33, 36]",5.0,
"4, [57, 62]",1.0,
"9, [29, 34]",4.0,
"2, [1, 1]",3.0,
"4, [53, 59]",1.0,
"4, [43, 46]",1.0,
"9, [1, 3]",3.0,
"40, [94, 98]",12.0,
"13, [33, 35]",5.0,
"130, [57, 59]",2.0,
"2, [61, 62]",1.0,
"1, [82, 83]",1.0,
"1, [34, 36]",1.0,
"361, [58, 60]",1.0,
"2, [36, 37]",1.0,
"2, [59, 62]",1.0,
"8, [75, 80]",2.0,
"39, [97, 100]",11.0,
"373, [11, 15]",4.0,
"1, [85, 87]",1.0,
"290, [76, 78]",2.0,
"11, [1, 6]",4.0,
"25, [87, 91]",8.0,
"13, [24, 27]",7.0,
"9, [9, 12]",3.0,
"12, [25, 26]",6.0,
"29, [72, 76]",6.0,
"23, [95, 99]",10.0,
"4, [26, 29]",1.0,
"4, [51, 53]",2.0,
"51, [54, 59]",10.0,
"4, [1, 3]",3.0,
"4, [48, 51]",2.0,
"5, [79, 82]",2.0,
"3, [77, 80]",1.0,
"7, [71, 71]",8.0,
"342, [82, 84]",1.0,
"4, [80, 81]",2.0,
"8, [32, 34]",6.0,
"7, [24, 30]",2.0,
"5, [58, 60]",2.0,
"133, [74, 76]",3.0,
"3, [29, 31]",3.0,
"7, [52, 57]",2.0,
"3, [22, 26]",1.0,
"8, [68, 69]",5.0,
"11, [89, 92]",3.0,
"166, [6, 11]",1.0,
"209, [97, 100]",8.0,
"3, [26, 28]",2.0,
"2, [1, 1]",2.0,
"8, [73, 77]",2.0,
"3, [58, 61]",1.0,
"2, [35, 39]",1.0,
"45, [86, 92]",9.0,
"255, [90, 94]",1.0,
"10, [10, 15]",2.0,
"1, [35, 36]",1.0,
"134, [24, 29]",2.0,
"6, [50, 53]",2.0,
"3, [26, 30]",1.0,
"76, [74, 77]",3.0,
"283, [57, 59]",2.0,
"1, [19, 21]",1.0,
"6, [96, 97]",3.0,
"44, [40, 45]",6.0,
"82, [65, 69]",18.0,
"3, [45, 47]",1.0,
"4, [58, 61]",1.0,
"9, [68, 71]",5.0,
"6, [84, 89]",1.0,
"10, [1, 6]",5.0,
"3, [27, 33]",1.0,
"2, [90, 92]",1.0,
"8, [93, 94]",7.0,
"279, [25, 27]",2.0,
"4, [48, 52]",2.0,
"5, [80, 84]",1.0,
"16, [38, 39]",18.0,
"4, [45, 49]",1.0,
"4, [58, 62]",2.0,
"1, [75, 75]",1.0,
"373, [11, 15]",2.0,
"258, [93, 96]",14.0,
"6, [17, 23]",1.0,
"140, [79, 80]",1.0,
"60, [55, 61]",9.0,
"1, [52, 54]",1.0,
"262, [77, 82]",1.0,
"2, [77, 78]",1.0,
"4, [62, 68]",1.0,
"7, [11, 14]",3.0,
"1, [58, 60]",1.0,
"67, [79, 82]",2.0,
"3, [27, 27]",5.0,
"15, [1, 4]",4.0,
"2, [35, 37]",1.0,
"336, [14, 16]",9.0,
"1, [82, 82]",1.0,
"2, [43, 44]",1.0,
"9, [16, 20]",4.0,
"117, [67, 71]",25.0,
"296, [28, 33]",1.0,
"4, [60, 65]",1.0,
"327, [45, 49]",1.0,
"21, [98, 100]",11.0,
"2, [98, 100]",1.0,
"1, [62, 64]",1.0,
"201, [50, 53]",1.0,
"3, [89, 91]",1.0,
"340, [12, 12]",3.0,
"2, [7, 8]",1.0,
"1, [17, 18]",1.0,
"9, [66, 68]",3.0,
"6, [57, 60]",2.0,
"4, [52, 55]",1.0,
"10, [15, 16]",5.0,
"339, [66, 85]",32.0,
"19, [50, 69]",1.0,
"82, [1, 20]",5.0,
"190, [29, 48]",2.0,
"14, [46, 65]",1.0,
"49, [1, 20]",5.0,
"39, [1, 20]",2.0,
