bidding_profile,contribution,demand
"4, [4, 6]",2.0,20
"12, [27, 32]",2.0,11
"7, [35, 41]",1.0,9
"139, [2, 5]",3.0,14
"6, [46, 49]",2.0,16
"19, [81, 86]",5.0,19
"343, [82, 84]",4.0,5
"6, [15, 19]",2.0,11
"8, [73, 77]",3.0,16
"5, [73, 78]",2.0,17
"4, [73, 75]",4.0,13
"274, [33, 37]",2.0,7
"10, [51, 54]",5.0,14
"30, [79, 85]",5.0,6
"9, [1, 3]",7.0,5
"14, [78, 83]",3.0,18
"5, [67, 70]",3.0,6
"3, [71, 73]",1.0,16
"5, [1, 3]",5.0,16
"4, [45, 49]",1.0,5
"13, [1, 4]",4.0,15
"3, [18, 21]",1.0,9
"2, [35, 36]",2.0,14
"20, [31, 35]",9.0,8
"3, [19, 19]",3.0,12
"3, [97, 99]",1.0,19
"4, [40, 42]",3.0,6
"186, [73, 74]",2.0,14
"7, [73, 74]",4.0,14
"5, [13, 17]",3.0,10
"243, [68, 69]",1.0,19
"10, [57, 61]",2.0,13
"226, [19, 25]",2.0,16
"17, [28, 32]",5.0,6
"1, [92, 92]",1.0,17
"380, [29, 30]",3.0,12
"4, [1, 4]",3.0,5
"107, [1, 4]",7.0,6
"10, [44, 49]",3.0,10
"5, [48, 54]",1.0,8
"15, [21, 26]",6.0,5
"3, [45, 49]",1.0,9
"7, [54, 57]",3.0,10
"6, [64, 67]",2.0,12
"5, [56, 59]",2.0,15
"229, [2, 4]",3.0,11
"1, [91, 91]",1.0,15
"2, [82, 82]",2.0,17
"2, [89, 93]",1.0,16
"9, [80, 81]",12.0,8
"7, [24, 26]",3.0,11
"2, [97, 99]",1.0,8
"1, [51, 51]",2.0,9
"6, [71, 74]",4.0,5
"2, [84, 87]",1.0,6
"6, [35, 39]",2.0,6
"4, [33, 36]",1.0,11
"2, [26, 27]",1.0,9
"246, [14, 18]",3.0,14
"13, [72, 74]",6.0,19
"9, [68, 73]",3.0,14
"233, [87, 92]",1.0,17
"290, [24, 26]",4.0,5
"2, [75, 77]",1.0,9
"4, [22, 26]",2.0,7
"10, [7, 10]",4.0,5
"4, [33, 35]",2.0,9
"92, [44, 48]",2.0,11
"15, [28, 31]",4.0,16
"3, [61, 63]",3.0,15
"261, [29, 32]",2.0,5
"2, [89, 91]",1.0,8
"363, [60, 66]",4.0,15
"2, [36, 38]",1.0,5
"22, [84, 90]",4.0,14
"5, [33, 35]",2.0,11
"2, [40, 45]",1.0,18
"8, [15, 18]",2.0,12
"67, [43, 46]",5.0,13
"6, [41, 45]",3.0,14
"18, [93, 95]",1.0,13
"2, [42, 43]",1.0,9
"9, [72, 75]",6.0,15
"6, [66, 70]",3.0,20
"2, [90, 92]",1.0,5
"18, [80, 84]",4.0,15
"38, [6, 8]",6.0,15
"30, [21, 26]",5.0,8
"3, [3, 5]",3.0,10
"5, [39, 41]",3.0,18
"2, [28, 32]",1.0,12
"10, [16, 22]",2.0,11
"6, [66, 69]",2.0,20
"8, [5, 7]",5.0,19
"11, [48, 51]",3.0,10
"12, [19, 23]",3.0,6
"6, [64, 67]",2.0,7
"3, [58, 60]",1.0,17
"7, [40, 45]",3.0,11
"2, [96, 98]",1.0,14
"15, [84, 89]",3.0,
"23, [79, 83]",8.0,
"49, [48, 54]",1.0,
"6, [68, 70]",3.0,
"6, [51, 52]",5.0,
"3, [61, 61]",3.0,
"107, [13, 16]",3.0,
"10, [71, 75]",3.0,
"24, [64, 66]",1.0,
"4, [54, 55]",2.0,
"6, [3, 4]",3.0,
"16, [22, 26]",5.0,
"8, [64, 66]",4.0,
"2, [24, 25]",1.0,
"3, [46, 48]",1.0,
"20, [29, 34]",5.0,
"9, [11, 15]",3.0,
"5, [18, 20]",3.0,
"2, [94, 99]",1.0,
"6, [1, 5]",3.0,
"3, [58, 61]",1.0,
"4, [67, 71]",1.0,
"8, [63, 67]",2.0,
"2, [18, 20]",2.0,
"5, [1, 2]",5.0,
"316, [86, 90]",2.0,
"5, [15, 17]",2.0,
"6, [94, 99]",1.0,
"1, [41, 41]",1.0,
"252, [29, 32]",1.0,
"6, [59, 63]",2.0,
"3, [75, 81]",1.0,
"1, [3, 3]",1.0,
"6, [11, 15]",3.0,
"152, [37, 43]",1.0,
"5, [69, 73]",2.0,
"3, [32, 34]",1.0,
"9, [83, 86]",3.0,
"194, [35, 36]",1.0,
"3, [53, 59]",1.0,
"11, [31, 37]",3.0,
"5, [34, 39]",2.0,
"90, [53, 54]",3.0,
"40, [80, 83]",11.0,
"4, [16, 17]",3.0,
"361, [2, 4]",3.0,
"11, [65, 69]",3.0,
"91, [32, 38]",3.0,
"9, [56, 60]",2.0,
"1, [93, 95]",1.0,
"4, [56, 58]",2.0,
"3, [63, 63]",4.0,
"15, [1, 3]",6.0,
"6, [7, 11]",2.0,
"11, [85, 90]",2.0,
"3, [27, 32]",1.0,
"2, [4, 5]",2.0,
"9, [60, 62]",4.0,
"7, [73, 76]",2.0,
"33, [1, 5]",8.0,
"2, [41, 42]",1.0,
"9, [47, 49]",9.0,
"281, [28, 32]",5.0,
"12, [40, 43]",3.0,
"5, [96, 100]",1.0,
"10, [82, 86]",2.0,
"9, [34, 38]",2.0,
"386, [18, 19]",3.0,
"23, [71, 77]",1.0,
"302, [30, 32]",2.0,
"6, [39, 41]",3.0,
"3, [13, 15]",1.0,
"3, [75, 78]",1.0,
"2, [42, 46]",1.0,
"2, [33, 35]",2.0,
"9, [22, 25]",6.0,
"1, [39, 40]",1.0,
"43, [53, 58]",2.0,
"186, [98, 100]",1.0,
"8, [80, 80]",8.0,
"2, [15, 19]",1.0,
"3, [39, 43]",1.0,
"16, [23, 27]",4.0,
"4, [36, 40]",1.0,
"4, [27, 29]",2.0,
"10, [11, 15]",2.0,
"6, [44, 49]",1.0,
"6, [72, 75]",2.0,
"11, [63, 69]",3.0,
"2, [95, 97]",1.0,
"125, [14, 18]",2.0,
"5, [18, 22]",1.0,
"9, [15, 20]",3.0,
"8, [59, 60]",7.0,
"4, [7, 8]",6.0,
"4, [91, 95]",1.0,
"7, [87, 90]",2.0,
"2, [33, 36]",1.0,
"236, [13, 17]",3.0,
"17, [21, 26]",3.0,
"11, [12, 15]",3.0,
"1, [55, 55]",1.0,
"4, [8, 11]",1.0,
"2, [85, 87]",1.0,
"385, [95, 99]",1.0,
"6, [9, 13]",2.0,
"3, [93, 95]",1.0,
"310, [71, 77]",6.0,
"21, [49, 54]",1.0,
"276, [44, 46]",2.0,
"2, [87, 89]",1.0,
"11, [48, 53]",3.0,
"180, [87, 90]",2.0,
"2, [63, 66]",1.0,
"2, [39, 40]",3.0,
"93, [16, 20]",3.0,
"127, [26, 28]",1.0,
"3, [45, 48]",1.0,
"5, [73, 75]",2.0,
"114, [93, 98]",1.0,
"312, [60, 63]",4.0,
"146, [19, 25]",2.0,
"11, [57, 62]",2.0,
"114, [68, 68]",1.0,
"2, [55, 56]",2.0,
"2, [92, 96]",1.0,
"4, [44, 47]",2.0,
"28, [8, 13]",6.0,
"18, [62, 68]",4.0,
"6, [10, 14]",3.0,
"3, [98, 99]",3.0,
"6, [98, 100]",4.0,
"29, [70, 74]",6.0,
"5, [65, 69]",1.0,
"13, [14, 18]",3.0,
"30, [32, 37]",5.0,
"5, [67, 69]",2.0,
"195, [8, 11]",3.0,
"18, [81, 85]",4.0,
"31, [5, 10]",6.0,
"244, [86, 91]",1.0,
"11, [66, 69]",3.0,
"2, [27, 28]",1.0,
"2, [56, 59]",1.0,
"3, [45, 46]",2.0,
"3, [89, 91]",1.0,
"3, [38, 43]",1.0,
"2, [93, 96]",1.0,
"4, [54, 55]",2.0,
"8, [24, 27]",2.0,
"3, [51, 56]",1.0,
"5, [22, 27]",2.0,
"17, [7, 11]",5.0,
"2, [38, 41]",1.0,
"70, [21, 24]",5.0,
"3, [65, 70]",1.0,
"2, [14, 15]",3.0,
"4, [58, 61]",2.0,
"1, [46, 48]",1.0,
"19, [24, 28]",4.0,
"11, [78, 80]",8.0,
"29, [100, 100]",30.0,
"3, [56, 60]",1.0,
"261, [19, 21]",3.0,
"9, [26, 30]",2.0,
"2, [90, 92]",1.0,
"4, [73, 75]",3.0,
"15, [60, 64]",3.0,
"9, [83, 89]",3.0,
"2, [93, 94]",1.0,
"19, [78, 79]",15.0,
"1, [92, 93]",1.0,
"3, [57, 60]",1.0,
"18, [8, 12]",5.0,
"4, [25, 30]",2.0,
"2, [38, 41]",1.0,
"232, [91, 93]",1.0,
"5, [23, 27]",3.0,
"25, [79, 82]",8.0,
"2, [57, 58]",2.0,
"9, [81, 85]",2.0,
"182, [97, 99]",1.0,
"3, [64, 67]",2.0,
"390, [11, 15]",2.0,
"7, [3, 6]",2.0,
"381, [88, 89]",2.0,
"222, [52, 55]",3.0,
"5, [36, 40]",1.0,
"10, [9, 12]",3.0,
"2, [47, 47]",5.0,
"155, [95, 98]",1.0,
"170, [44, 46]",2.0,
"5, [83, 84]",4.0,
"5, [49, 53]",1.0,
"4, [44, 46]",3.0,
"3, [10, 12]",1.0,
"304, [86, 88]",2.0,
"95, [79, 85]",14.0,
"17, [8, 13]",5.0,
"1, [63, 63]",1.0,
"72, [81, 100]",5.0,
"203, [79, 98]",11.0,
"18, [16, 35]",1.0,
"42, [53, 72]",3.0,
"321, [77, 96]",20.0,
"19, [44, 63]",2.0,
"46, [11, 30]",3.0,
"71, [78, 97]",4.0,
