bidding_profile,contribution,demand
"1, [41, 41]",3.0,15
"27, [46, 49]",7.0,7
"23, [14, 15]",15.0,12
"13, [44, 47]",6.0,14
"15, [3, 3]",17.0,12
"9, [13, 14]",4.0,11
"4, [35, 39]",2.0,9
"53, [12, 17]",10.0,5
"33, [1, 4]",5.0,6
"43, [20, 23]",15.0,12
"30, [12, 14]",26.0,20
"25, [3, 6]",7.0,7
"55, [21, 25]",13.0,19
"28, [1, 3]",12.0,18
"18, [25, 27]",2.0,11
"38, [39, 42]",10.0,17
"61, [46, 46]",8.0,20
"50, [42, 45]",14.0,17
"6, [5, 6]",4.0,12
"10, [23, 28]",5.0,9
"41, [39, 42]",13.0,5
"200, [22, 25]",20.0,8
"51, [41, 43]",21.0,18
"166, [38, 40]",5.0,12
"94, [8, 14]",3.0,10
"28, [17, 20]",20.0,19
"29, [50, 50]",29.0,6
"24, [1, 6]",6.0,12
"21, [18, 19]",15.0,8
"22, [35, 38]",11.0,19
"34, [39, 45]",5.0,9
"5, [39, 43]",3.0,19
"43, [16, 18]",21.0,15
"10, [46, 50]",5.0,19
"11, [35, 40]",3.0,18
"40, [14, 18]",15.0,19
"3, [6, 6]",3.0,10
"93, [9, 13]",14.0,20
"34, [39, 42]",10.0,19
"45, [22, 27]",16.0,13
"8, [36, 36]",11.0,12
"36, [42, 46]",17.0,13
"22, [6, 11]",10.0,20
"99, [8, 11]",8.0,12
"19, [45, 48]",6.0,13
"146, [33, 35]",4.0,19
"13, [40, 42]",5.0,7
"3, [23, 24]",2.0,14
"9, [37, 42]",10.0,12
"6, [2, 4]",4.0,13
"45, [19, 20]",24.0,
"3, [16, 16]",3.0,
"155, [44, 47]",7.0,
"11, [48, 50]",4.0,
"59, [40, 44]",22.0,
"5, [14, 18]",2.0,
"10, [34, 37]",6.0,
"51, [24, 29]",11.0,
"40, [31, 34]",7.0,
"13, [15, 16]",19.0,
"20, [22, 23]",17.0,
"9, [37, 38]",9.0,
"174, [5, 6]",5.0,
"10, [5, 7]",9.0,
"28, [4, 7]",12.0,
"43, [40, 44]",23.0,
"38, [34, 38]",11.0,
"92, [13, 19]",23.0,
"5, [13, 13]",5.0,
"98, [40, 45]",24.0,
"52, [25, 31]",8.0,
"116, [47, 47]",5.0,
"23, [1, 6]",4.0,
"5, [6, 8]",3.0,
"9, [10, 14]",5.0,
"63, [27, 30]",17.0,
"7, [29, 30]",6.0,
"4, [29, 29]",6.0,
"95, [42, 42]",12.0,
"39, [48, 50]",17.0,
"20, [24, 30]",3.0,
"96, [11, 14]",15.0,
"11, [8, 11]",8.0,
"85, [23, 28]",15.0,
"129, [16, 22]",20.0,
"114, [9, 12]",11.0,
"1, [14, 14]",2.0,
"9, [46, 48]",5.0,
"196, [1, 5]",6.0,
"20, [4, 5]",21.0,
"5, [5, 6]",7.0,
"21, [26, 27]",15.0,
"147, [38, 38]",11.0,
"93, [25, 29]",23.0,
"24, [12, 15]",9.0,
"36, [14, 18]",12.0,
"100, [41, 46]",22.0,
"21, [21, 21]",21.0,
"4, [30, 30]",5.0,
"23, [34, 37]",10.0,
"4, [7, 9]",3.0,
"136, [14, 18]",27.0,
"47, [8, 13]",8.0,
"66, [40, 42]",22.0,
"23, [43, 44]",12.0,
"10, [17, 17]",17.0,
"94, [47, 50]",14.0,
"76, [18, 21]",19.0,
"102, [12, 17]",19.0,
"12, [17, 17]",13.0,
"10, [38, 43]",3.0,
"14, [3, 5]",12.0,
"43, [49, 50]",24.0,
"16, [8, 14]",6.0,
"4, [36, 36]",4.0,
"5, [4, 5]",5.0,
"14, [23, 27]",4.0,
"10, [9, 11]",6.0,
"37, [24, 26]",17.0,
"16, [13, 14]",20.0,
"60, [20, 24]",30.0,
"10, [15, 17]",5.0,
"34, [27, 28]",20.0,
"9, [46, 50]",3.0,
"3, [42, 45]",1.0,
"81, [11, 14]",21.0,
"45, [1, 4]",13.0,
"68, [10, 15]",15.0,
"5, [19, 21]",2.0,
"167, [1, 5]",3.0,
"72, [20, 22]",26.0,
"28, [48, 50]",18.0,
"92, [39, 44]",18.0,
"64, [2, 4]",17.0,
"5, [10, 12]",3.0,
"44, [4, 9]",8.0,
"28, [45, 50]",13.0,
"39, [39, 42]",13.0,
"44, [36, 39]",13.0,
"4, [1, 3]",2.0,
"30, [33, 36]",7.0,
"16, [28, 30]",6.0,
"5, [38, 40]",5.0,
"15, [45, 49]",8.0,
"85, [40, 45]",17.0,
"51, [24, 27]",21.0,
"102, [10, 16]",16.0,
"38, [43, 46]",10.0,
"7, [26, 28]",15.0,
"77, [18, 22]",18.0,
"67, [24, 35]",6.0,
"68, [38, 49]",12.0,
"75, [26, 37]",17.0,
"62, [39, 50]",11.0,
"92, [1, 12]",9.0,
