bidding_profile,contribution,demand
"39, [33, 35]",13.0,17
"12, [39, 42]",3.0,15
"3, [1, 7]",1.0,20
"33, [41, 42]",1.0,20
"1, [30, 31]",2.0,18
"5, [2, 3]",6.0,7
"16, [36, 41]",3.0,9
"8, [35, 38]",3.0,9
"7, [1, 4]",4.0,7
"2, [46, 49]",1.0,6
"31, [42, 44]",1.0,7
"6, [37, 42]",3.0,12
"37, [7, 11]",1.0,11
"37, [17, 18]",1.0,8
"3, [14, 16]",1.0,5
"12, [50, 50]",15.0,18
"34, [46, 49]",1.0,20
"27, [33, 37]",9.0,15
"5, [40, 45]",2.0,12
"8, [41, 45]",2.0,7
"1, [5, 5]",1.0,15
"4, [28, 33]",2.0,8
"9, [29, 33]",2.0,16
"12, [44, 46]",6.0,17
"2, [10, 15]",1.0,12
"8, [42, 44]",4.0,19
"3, [29, 34]",1.0,11
"8, [46, 50]",2.0,12
"58, [40, 45]",1.0,12
"6, [39, 44]",1.0,17
"10, [19, 21]",4.0,16
"12, [17, 19]",4.0,16
"49, [44, 45]",8.0,13
"1, [48, 50]",1.0,8
"65, [36, 41]",3.0,8
"4, [47, 50]",1.0,6
"59, [43, 44]",7.0,17
"57, [36, 41]",3.0,8
"10, [14, 18]",2.0,8
"9, [6, 9]",3.0,13
"5, [46, 48]",3.0,18
"3, [10, 16]",1.0,6
"1, [1, 4]",1.0,18
"25, [2, 6]",6.0,7
"4, [47, 50]",1.0,14
"53, [50, 50]",21.0,5
"13, [22, 25]",2.0,7
"4, [46, 49]",1.0,19
"19, [20, 26]",3.0,19
"1, [36, 37]",1.0,14
"33, [14, 19]",6.0,
"9, [25, 26]",5.0,
"2, [10, 13]",1.0,
"3, [4, 7]",1.0,
"8, [11, 14]",3.0,
"12, [1, 4]",7.0,
"9, [32, 35]",7.0,
"17, [37, 40]",7.0,
"5, [36, 38]",2.0,
"2, [44, 46]",2.0,
"1, [29, 30]",2.0,
"7, [20, 22]",3.0,
"4, [9, 14]",1.0,
"9, [11, 13]",3.0,
"30, [44, 49]",6.0,
"11, [1, 3]",6.0,
"9, [50, 50]",17.0,
"63, [18, 21]",6.0,
"7, [45, 48]",2.0,
"18, [31, 32]",1.0,
"54, [1, 4]",2.0,
"7, [38, 39]",4.0,
"76, [5, 10]",3.0,
"6, [2, 4]",3.0,
"2, [9, 14]",1.0,
"19, [44, 50]",3.0,
"1, [27, 28]",1.0,
"6, [47, 48]",3.0,
"2, [2, 2]",4.0,
"9, [5, 8]",3.0,
"1, [19, 22]",1.0,
"30, [43, 48]",8.0,
"18, [13, 13]",5.0,
"11, [41, 44]",6.0,
"5, [17, 19]",3.0,
"14, [25, 28]",6.0,
"7, [5, 8]",2.0,
"7, [27, 30]",2.0,
"6, [20, 23]",2.0,
"14, [2, 6]",6.0,
"2, [1, 2]",3.0,
"5, [28, 33]",1.0,
"11, [42, 44]",5.0,
"11, [31, 34]",1.0,
"4, [20, 22]",3.0,
"2, [2, 3]",1.0,
"24, [1, 5]",5.0,
"6, [40, 42]",2.0,
"2, [9, 11]",1.0,
"4, [5, 7]",2.0,
"2, [35, 36]",1.0,
"48, [4, 6]",1.0,
"1, [31, 34]",1.0,
"25, [32, 35]",14.0,
"1, [9, 11]",1.0,
"4, [21, 22]",2.0,
"41, [12, 17]",8.0,
"42, [45, 46]",4.0,
"5, [14, 16]",3.0,
"4, [44, 47]",3.0,
"3, [35, 38]",1.0,
"2, [46, 47]",2.0,
"3, [30, 33]",2.0,
"31, [23, 28]",11.0,
"22, [42, 42]",1.0,
"4, [30, 31]",3.0,
"4, [43, 49]",1.0,
"62, [31, 34]",4.0,
"6, [4, 10]",1.0,
"9, [11, 13]",4.0,
"3, [6, 8]",2.0,
"18, [25, 29]",5.0,
"5, [34, 35]",3.0,
"18, [49, 50]",25.0,
"5, [5, 9]",2.0,
"30, [29, 29]",2.0,
"1, [38, 42]",1.0,
"21, [23, 27]",6.0,
"8, [5, 9]",2.0,
"64, [14, 19]",5.0,
"5, [16, 21]",1.0,
"10, [23, 24]",10.0,
"6, [17, 21]",2.0,
"41, [9, 9]",1.0,
"10, [26, 31]",5.0,
"7, [21, 25]",2.0,
"7, [41, 44]",3.0,
"77, [24, 30]",11.0,
"62, [2, 8]",6.0,
"1, [47, 50]",1.0,
"6, [25, 30]",2.0,
"28, [13, 17]",6.0,
"1, [8, 11]",1.0,
"75, [47, 50]",2.0,
"17, [1, 1]",1.0,
"7, [30, 34]",3.0,
"19, [1, 4]",1.0,
"1, [8, 10]",1.0,
"7, [44, 48]",2.0,
"5, [20, 25]",1.0,
