dataset,instance,num_workers,num_tasks,delta,max_delta_index,algorithm_solution_set,deletion_solution_set,optimal_solution_set,algorithm_cost,deletion_cost,optimal_cost
10_tasks,instance01.csv,31,10,12,5,"[1, 5, 6, 7, 8, 9, 10, 11, 12, 17, 18, 19, 20, 21, 23, 27]","[1, 5, 6, 7, 9, 10, 11, 12, 18, 19, 20, 21, 23, 27]","[1, 6, 8, 10, 11, 12, 15, 18, 20, 21, 23, 26, 27]",131,127,93.0
10_tasks,instance02.csv,30,10,14,5,"[2, 9, 10, 11, 14, 16, 23, 25, 30]","[10, 11, 25, 30]","[2, 13, 14, 17, 25, 26, 30]",144,120,107.0
10_tasks,instance03.csv,31,10,11,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 19, 21, 22, 24, 25, 26, 29]","[1, 3, 4, 5, 6, 8, 9, 10, 17, 19, 21, 22, 24, 25, 26, 29]","[4, 6, 12, 14, 17, 21, 24, 25, 28, 31]",143,124,84.0
10_tasks,instance04.csv,30,10,15,4,"[1, 2, 3, 4, 5, 8, 15, 16, 17, 21, 22, 23, 25, 29]","[1, 2, 3, 4, 5, 8, 16, 17, 21, 22, 23, 25, 29]","[1, 2, 3, 4, 5, 15, 16, 17, 22, 23, 25, 27, 29]",85,83,69.0
10_tasks,instance05.csv,32,10,12,6,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 18, 20, 27, 30]","[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 18, 30]","[2, 3, 4, 7, 8, 9, 11, 12, 13, 17, 18, 20, 28]",115,111,88.0
10_tasks,instance06.csv,31,10,16,6,"[2, 3, 5, 6, 7, 14, 17, 19, 25, 27, 31]","[2, 3, 7, 14, 17, 19, 25, 31]","[2, 3, 5, 14, 17, 19, 22, 25, 27, 29, 31]",106,97,92.0
10_tasks,instance07.csv,32,10,12,5,"[3, 4, 5, 6, 7, 8, 9, 10, 14, 18, 22, 29, 31, 32]","[3, 4, 6, 9, 10, 14, 18, 29, 32]","[4, 5, 11, 14, 15, 16, 22, 23, 24, 29, 31, 32]",183,156,124.0
10_tasks,instance08.csv,30,10,14,5,"[1, 2, 3, 4, 6, 8, 9, 10, 18, 20, 25, 29]","[1, 4, 8, 9, 10, 18, 20, 29]","[4, 6, 8, 10, 18, 20, 27, 29, 30]",149,113,102.0
10_tasks,instance09.csv,31,10,13,3,"[1, 2, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 22, 24, 25, 26, 29, 30, 31]","[2, 4, 5, 6, 7, 8, 12, 17, 18, 19, 20, 24, 25, 29]","[2, 5, 6, 7, 8, 9, 12, 17, 24, 25, 26, 27, 29]",171,157,145.0
10_tasks,instance10.csv,32,10,12,7,"[1, 3, 4, 5, 7, 8, 9, 10, 16, 27, 30, 31]","[1, 3, 5, 7, 8, 9, 10, 16, 27, 30, 31]","[1, 3, 5, 8, 10, 13, 16]",154,137,114.0
10_tasks,instance11.csv,30,10,10,7,"[1, 2, 3, 4, 7, 8, 10, 13, 15, 17, 18, 21, 22, 24, 26]","[1, 2, 3, 4, 7, 8, 10, 13, 15, 18, 21, 24, 26]","[1, 3, 4, 5, 7, 8, 21, 24, 26, 29]",186,161,142.0
10_tasks,instance12.csv,31,10,12,3,"[1, 2, 5, 8, 9, 10, 14, 15, 21, 24, 27, 28, 29, 30]","[2, 5, 9, 14, 15, 21, 27, 28, 29, 30]","[5, 15, 16, 17, 21, 27, 28, 29, 30]",114,97,95.0
10_tasks,instance13.csv,30,10,12,7,"[1, 2, 3, 4, 7, 8, 10, 13, 14, 16, 20, 25, 26, 27]","[1, 2, 3, 8, 10, 14, 16, 20, 25, 26, 27]","[1, 2, 3, 10, 14, 15, 16, 20, 25, 26, 27]",91,74,66.0
10_tasks,instance14.csv,30,10,13,6,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 14, 15, 19, 20, 22, 24, 27]","[1, 2, 4, 5, 7, 9, 14, 15, 20, 22, 24]","[1, 4, 6, 9, 14, 15, 19, 23, 28, 29]",161,128,112.0
10_tasks,instance15.csv,31,10,11,4,"[4, 5, 6, 8, 9, 10, 11, 15, 16, 19, 20, 23, 25, 27, 28, 30]","[5, 6, 9, 11, 15, 16, 20, 23, 25, 27, 28, 30]","[6, 9, 11, 15, 16, 17, 20, 23, 25, 27, 28, 30]",172,124,122.0
10_tasks,instance16.csv,30,10,11,2,"[4, 5, 6, 7, 9, 13, 14, 16, 17, 19, 23, 24, 28]","[4, 7, 9, 13, 16, 17, 19, 23]","[7, 13, 16, 17, 19, 23, 25, 30]",126,113,107.0
10_tasks,instance17.csv,31,10,15,8,"[1, 3, 4, 6, 7, 8, 9, 14, 24, 26, 27]","[1, 3, 4, 6, 7, 8, 14, 24, 26, 27]","[4, 6, 17, 25, 27, 28, 31]",151,136,111.0
10_tasks,instance18.csv,31,10,12,4,"[1, 3, 4, 5, 7, 8, 9, 10, 12, 15, 21, 24, 25, 30]","[1, 3, 4, 5, 7, 8, 9, 10, 12, 15, 24, 30]","[1, 4, 7, 8, 9, 12, 13, 15, 20, 23, 24, 25, 30]",101,98,89.0
10_tasks,instance19.csv,32,10,13,6,"[1, 2, 3, 6, 8, 9, 10, 14, 15, 16, 18, 19, 24, 25, 27, 31]","[1, 3, 6, 8, 9, 14, 15, 16, 18, 19, 24, 27, 31]","[1, 3, 5, 6, 8, 14, 15, 16, 18, 19, 20, 27, 28, 31, 32]",142,118,115.0
10_tasks,instance20.csv,32,10,15,3,"[3, 4, 5, 6, 7, 8, 15, 18, 23, 24, 27, 28, 31, 32]","[3, 4, 5, 6, 7, 8, 15, 23, 24, 27, 28, 31, 32]","[5, 12, 13, 14, 15, 18, 20, 23, 24, 27, 28, 31, 32]",69,67,54.0
10_tasks,instance21.csv,32,10,12,5,"[3, 4, 5, 6, 7, 9, 10, 16, 18, 24, 25, 26, 27, 31, 32]","[3, 4, 5, 6, 7, 9, 10, 16, 18, 25, 26, 27, 31, 32]","[3, 5, 6, 7, 9, 10, 16, 18, 20, 25, 26, 27, 31, 32]",103,102,100.0
10_tasks,instance22.csv,30,10,11,8,"[4, 5, 6, 7, 8, 10, 12, 18, 21, 25, 28, 29, 30]","[4, 6, 8, 10, 12, 18, 21, 25, 28, 30]","[4, 10, 12, 18, 20, 21, 22, 25, 28, 30]",98,89,84.0
10_tasks,instance23.csv,32,10,12,7,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 19, 20, 21, 22, 23, 25, 29]","[1, 4, 5, 6, 7, 8, 9, 10, 11, 13, 16, 17, 19, 20, 21, 22, 23, 29]","[1, 4, 5, 7, 8, 9, 10, 11, 13, 15, 16, 17, 19, 20, 21, 22, 23, 29, 30]",90,69,67.0
10_tasks,instance24.csv,31,10,11,9,"[1, 4, 5, 6, 7, 8, 9, 14, 15, 17, 21, 23, 31]","[1, 4, 5, 7, 8, 9, 14, 15, 17, 21, 23, 31]","[1, 2, 4, 5, 6, 8, 9, 14, 15, 16, 17, 21, 23, 31]",86,79,75.0
10_tasks,instance25.csv,32,10,15,1,"[1, 2, 3, 5, 6, 7, 8, 9, 12, 13, 19, 20, 21, 23, 24, 26, 27, 30, 32]","[1, 2, 3, 5, 7, 9, 12, 13, 19, 20, 23, 24, 26, 27, 30, 32]","[1, 5, 6, 7, 8, 9, 11, 13, 16, 19, 21, 23, 24, 26, 27, 32]",151,145,129.0
10_tasks,instance26.csv,31,10,13,3,"[3, 4, 6, 7, 9, 10, 12, 15, 16, 18, 24, 26, 27]","[3, 4, 6, 7, 9, 10, 15, 24, 26, 27]","[4, 6, 7, 10, 12, 15, 17, 18, 24, 26, 28, 31]",132,114,98.0
10_tasks,instance27.csv,30,10,12,2,"[1, 2, 6, 10, 11, 15, 16, 19, 20, 21, 25, 26, 27, 28]","[1, 2, 10, 11, 15, 20, 21, 25, 26, 27]","[1, 2, 10, 15, 16, 19, 20, 21, 25, 26, 27]",218,206,205.0
10_tasks,instance28.csv,32,10,15,5,"[1, 2, 3, 5, 9, 11, 14, 17, 20, 24, 26]","[1, 2, 3, 9, 11, 17, 20, 24, 26]","[2, 12, 14, 20, 24, 26, 27, 31]",131,125,101.0
10_tasks,instance29.csv,30,10,12,8,"[3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 27, 28, 29]","[3, 6, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19, 24, 27, 28, 29]","[3, 6, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19, 24, 27, 28, 29]",144,107,107.0
10_tasks,instance30.csv,32,10,12,9,"[2, 3, 5, 8, 9, 10, 12, 14, 17, 18, 21, 22, 24, 26, 27, 28, 29, 31]","[2, 3, 5, 8, 9, 12, 14, 17, 18, 21, 24, 26, 27, 28, 29, 31]","[2, 3, 8, 9, 13, 14, 16, 17, 23, 24, 26, 27, 29, 30]",84,80,69.0
10_tasks,instance31.csv,31,10,12,6,"[2, 3, 5, 7, 8, 9, 10, 11, 15, 18, 19, 22, 23, 24, 25, 27, 28, 30]","[3, 7, 8, 9, 10, 15, 18, 19, 22, 25, 27, 28, 30]","[3, 8, 9, 15, 18, 19, 22, 27, 30, 31]",150,127,120.0
10_tasks,instance32.csv,32,10,13,7,"[2, 3, 4, 5, 6, 7, 10, 12, 18, 19, 20, 26, 27, 28, 29, 30, 31]","[2, 5, 7, 12, 18, 19, 26, 27, 29, 31]","[1, 2, 5, 12, 19, 26, 29, 31]",125,106,97.0
10_tasks,instance33.csv,31,10,12,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 21, 22, 23, 24, 25]","[1, 4, 5, 6, 8, 10, 11, 12, 14, 15, 18, 19, 21, 22, 25]","[5, 8, 9, 10, 11, 12, 13, 15, 16, 19, 23, 24, 25, 29, 30, 31]",145,120,98.0
10_tasks,instance34.csv,31,10,11,9,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 19, 20, 21, 23, 27, 28, 31]","[1, 3, 4, 5, 6, 8, 9, 12, 13, 16, 19, 20, 21, 23, 27, 28, 31]","[1, 3, 4, 5, 6, 8, 9, 12, 13, 16, 19, 20, 21, 23, 27, 28, 31]",120,113,113.0
10_tasks,instance35.csv,31,10,12,6,"[1, 3, 4, 5, 6, 7, 10, 12, 13, 19, 24, 25, 27, 28]","[4, 5, 6, 7, 12, 13, 19, 24, 25, 27, 28]","[3, 5, 10, 11, 17, 19, 24, 25, 27, 28, 30]",137,116,101.0
10_tasks,instance36.csv,32,10,13,4,"[2, 6, 7, 10, 11, 12, 13, 18, 19, 22, 27, 31]","[2, 6, 7, 10, 11, 18, 22, 27, 31]","[2, 6, 7, 11, 12, 13, 18, 20, 22, 31]",154,145,141.0
10_tasks,instance37.csv,31,10,11,8,"[1, 2, 4, 6, 7, 10, 11, 13, 17, 18, 23, 24, 25, 27, 29]","[2, 4, 6, 7, 10, 11, 17, 18, 23, 24, 27, 29]","[2, 4, 6, 7, 11, 13, 17, 18, 20, 23, 24, 25, 27, 29]",96,93,86.0
10_tasks,instance38.csv,31,10,14,2,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 13, 14, 24, 25, 26, 27, 29, 30]","[1, 2, 4, 5, 7, 8, 9, 10, 13, 14, 24, 25, 27, 29, 30]","[3, 5, 6, 9, 10, 13, 14, 18, 19, 21, 26, 30]",133,129,91.0
10_tasks,instance39.csv,31,10,14,5,"[1, 3, 4, 10, 11, 12, 13, 15, 17, 21, 25, 30, 31]","[1, 3, 4, 11, 12, 13, 15, 21, 30, 31]","[3, 4, 11, 12, 13, 15, 23, 30, 31]",188,156,131.0
10_tasks,instance40.csv,30,10,13,3,"[2, 3, 4, 5, 6, 8, 14, 22, 26, 28, 29, 30]","[2, 3, 4, 5, 6, 8, 14, 22, 26, 29, 30]","[2, 4, 5, 14, 16, 21, 22, 23, 24, 25, 27]",92,88,77.0
