dataset,instance,num_workers,num_tasks,delta,max_delta_index,algorithm_solution_set,deletion_solution_set,optimal_solution_set,algorithm_cost,deletion_cost,optimal_cost
35_tasks,instance01.csv,108,35,19,26,"[1, 2, 4, 5, 7, 8, 9, 16, 19, 20, 21, 23, 24, 25, 28, 29, 30, 31, 37, 43, 45, 48, 50, 52, 56, 62, 64, 65, 69, 70, 71, 72, 78, 81, 83, 84, 87, 93, 99, 100, 104, 105]","[1, 2, 4, 5, 7, 8, 9, 19, 20, 21, 23, 24, 25, 28, 29, 30, 31, 37, 43, 48, 50, 52, 62, 64, 65, 69, 71, 72, 81, 83, 87, 99, 100, 104]","[2, 4, 5, 9, 19, 20, 21, 23, 24, 37, 43, 50, 52, 56, 62, 64, 65, 69, 70, 72, 74, 75, 81, 82, 83, 85, 87, 99, 104]",402,375,341.0
35_tasks,instance02.csv,109,35,25,17,"[2, 3, 4, 5, 6, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 30, 31, 32, 33, 34, 39, 40, 43, 47, 48, 50, 51, 54, 57, 59, 60, 64, 66, 67, 68, 71, 78, 79, 80, 82, 83, 86, 87, 90, 92, 93, 97, 98, 99, 104, 105, 108, 109]","[2, 3, 4, 5, 6, 14, 16, 18, 19, 20, 21, 25, 27, 28, 30, 31, 32, 33, 34, 39, 40, 51, 54, 57, 59, 60, 66, 67, 68, 71, 79, 80, 82, 83, 87, 90, 92, 97, 98, 105, 108, 109]","[3, 4, 5, 19, 24, 25, 27, 30, 31, 32, 39, 43, 54, 56, 57, 66, 67, 68, 71, 78, 79, 80, 82, 83, 87, 90, 92, 93, 96, 97, 98, 99, 100, 102, 104, 105, 106, 108, 109]",659,453,313.0
35_tasks,instance03.csv,106,35,25,32,"[2, 4, 5, 7, 8, 11, 12, 13, 15, 17, 18, 23, 24, 25, 28, 29, 30, 34, 35, 39, 44, 48, 51, 52, 54, 58, 65, 67, 69, 70, 72, 74, 85, 87, 88, 95, 97, 98]","[2, 5, 7, 8, 11, 12, 13, 15, 17, 18, 23, 24, 25, 28, 29, 30, 34, 35, 39, 48, 51, 52, 54, 58, 67, 69, 70, 72, 74, 85, 88, 95, 97, 98]","[7, 8, 11, 13, 15, 23, 24, 25, 28, 30, 35, 39, 41, 47, 48, 49, 51, 52, 53, 54, 58, 64, 65, 67, 69, 70, 72, 73, 74, 82, 88, 95, 97, 98, 104, 106]",348,336,296.0
35_tasks,instance04.csv,106,35,19,8,"[2, 3, 5, 6, 8, 10, 12, 17, 18, 19, 22, 23, 25, 30, 36, 37, 45, 49, 52, 62, 65, 66, 73, 75, 77, 79, 84, 85, 86, 87, 88, 89, 92, 93, 95, 100, 101, 104, 105, 106]","[3, 5, 6, 8, 10, 12, 17, 18, 19, 22, 25, 30, 36, 37, 45, 49, 52, 62, 65, 66, 75, 77, 79, 84, 85, 86, 87, 88, 89, 92, 93, 95, 101, 105, 106]","[3, 5, 6, 17, 18, 22, 25, 27, 30, 36, 39, 41, 45, 48, 49, 52, 62, 66, 75, 77, 79, 82, 84, 85, 86, 87, 88, 89, 92, 93, 95, 101, 105, 106]",403,389,356.0
35_tasks,instance05.csv,109,35,18,6,"[1, 2, 5, 8, 12, 15, 16, 17, 18, 23, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 44, 45, 46, 47, 49, 52, 53, 56, 57, 60, 63, 64, 65, 66, 70, 72, 73, 78, 79, 81, 82, 83, 84, 91, 92, 94, 97, 100, 101, 105, 107]","[1, 2, 5, 8, 12, 16, 17, 25, 28, 31, 32, 33, 35, 36, 40, 45, 46, 47, 49, 52, 53, 60, 63, 72, 73, 81, 82, 92, 97, 100, 101, 105, 107]","[2, 5, 8, 16, 18, 19, 25, 26, 29, 31, 33, 38, 40, 42, 44, 46, 49, 56, 57, 60, 66, 72, 73, 81, 82, 84, 95, 97, 101, 106, 107, 109]",509,415,304.0
35_tasks,instance06.csv,110,35,17,21,"[3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 38, 41, 42, 43, 44, 45, 46, 48, 49, 50, 54, 56, 59, 61, 63, 66, 70, 72, 78, 79, 84, 85, 86, 87, 91, 96, 98, 99, 101, 102, 103, 105, 106, 107, 108, 109]","[5, 6, 7, 9, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 33, 38, 41, 42, 48, 49, 50, 56, 59, 66, 70, 72, 78, 79, 84, 85, 86, 87, 91, 98, 99, 101, 102, 106, 107, 108, 109]","[5, 6, 7, 9, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 26, 27, 28, 29, 30, 39, 41, 48, 49, 50, 52, 53, 56, 59, 60, 63, 66, 72, 74, 75, 79, 80, 84, 85, 86, 87, 91, 92, 98, 99, 100, 101, 104, 107, 108, 109]",443,329,287.0
35_tasks,instance07.csv,110,35,22,4,"[2, 3, 4, 7, 10, 11, 13, 15, 17, 18, 19, 22, 24, 28, 29, 31, 34, 38, 39, 40, 41, 42, 45, 46, 47, 49, 51, 59, 63, 68, 69, 72, 74, 76, 80, 84, 86, 87, 88, 91, 92, 94, 97, 99, 100, 104, 110]","[2, 3, 4, 7, 10, 11, 13, 15, 17, 18, 19, 22, 24, 28, 29, 31, 38, 39, 40, 45, 46, 47, 49, 51, 63, 68, 69, 72, 74, 80, 86, 87, 88, 91, 97, 99, 104, 110]","[3, 10, 15, 19, 28, 29, 32, 34, 38, 39, 40, 42, 45, 46, 47, 49, 50, 57, 63, 68, 72, 76, 78, 79, 80, 86, 87, 88, 91, 93, 97, 102, 103, 109, 110]",402,359,274.0
35_tasks,instance08.csv,111,35,22,12,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 18, 19, 21, 22, 24, 25, 26, 28, 29, 30, 34, 36, 37, 40, 47, 50, 51, 57, 59, 60, 64, 65, 70, 71, 74, 80, 81, 83, 88, 93, 107, 109, 110]","[1, 2, 6, 8, 10, 12, 13, 14, 15, 18, 19, 21, 22, 24, 25, 26, 28, 29, 30, 34, 36, 37, 40, 47, 50, 57, 59, 60, 65, 74, 80, 81, 88, 93, 107, 109, 110]","[1, 5, 6, 7, 10, 13, 14, 15, 18, 19, 21, 22, 25, 26, 29, 30, 34, 36, 37, 40, 42, 46, 50, 57, 59, 60, 63, 64, 65, 74, 80, 81, 86, 90, 93, 96, 101, 105, 107, 108, 109, 110]",630,586,503.0
35_tasks,instance09.csv,110,35,17,10,"[2, 3, 5, 6, 7, 8, 10, 12, 14, 16, 17, 18, 21, 22, 23, 24, 25, 26, 28, 30, 31, 32, 33, 34, 36, 37, 38, 40, 41, 42, 43, 45, 46, 52, 53, 56, 59, 63, 71, 72, 73, 78, 81, 84, 87, 89, 90, 91, 93, 95, 96, 97, 101, 106]","[2, 3, 6, 7, 8, 10, 12, 14, 16, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 36, 37, 38, 40, 42, 43, 45, 46, 52, 53, 59, 63, 71, 72, 73, 81, 84, 89, 90, 91, 93, 95, 96, 97, 101, 106]","[2, 6, 7, 8, 10, 12, 14, 16, 18, 23, 24, 28, 31, 33, 34, 37, 38, 43, 47, 49, 52, 53, 59, 63, 67, 71, 72, 73, 81, 84, 88, 89, 90, 91, 93, 95, 96, 99, 103, 106, 109]",420,396,357.0
35_tasks,instance10.csv,111,35,18,10,"[1, 2, 7, 10, 13, 14, 15, 18, 23, 24, 25, 26, 27, 28, 29, 33, 35, 37, 40, 42, 43, 46, 49, 50, 52, 54, 55, 56, 59, 63, 64, 65, 66, 68, 72, 74, 76, 77, 83, 84, 87, 88, 92, 93, 96, 97, 98, 100, 101, 102, 103, 104, 105, 106, 108, 109, 110]","[1, 10, 13, 15, 18, 23, 25, 26, 27, 28, 33, 35, 37, 40, 49, 55, 56, 59, 63, 64, 65, 74, 77, 83, 88, 93, 97, 98, 100, 101, 102, 103, 104, 110]","[1, 10, 15, 23, 25, 26, 27, 28, 29, 35, 37, 40, 46, 49, 55, 63, 64, 65, 74, 78, 83, 88, 93, 94, 97, 98, 100, 102, 103, 104, 110]",976,693,676.0
