bidding_profile,contribution,demand
"5, [3, 8]",1.0,19
"101, [6, 8]",3.0,14
"26, [1, 4]",7.0,14
"58, [30, 31]",2.0,11
"26, [17, 22]",7.0,17
"11, [1, 3]",4.0,15
"47, [4, 10]",3.0,7
"7, [19, 23]",2.0,18
"11, [26, 29]",5.0,7
"2, [34, 35]",1.0,15
"9, [15, 18]",4.0,15
"1, [31, 34]",1.0,19
"5, [14, 20]",1.0,8
"18, [29, 34]",4.0,9
"14, [1, 2]",7.0,18
"1, [13, 15]",1.0,20
"8, [5, 7]",3.0,6
"35, [1, 6]",7.0,8
"10, [2, 6]",3.0,17
"18, [26, 31]",3.0,18
"60, [9, 14]",4.0,16
"2, [22, 22]",1.0,7
"101, [24, 30]",15.0,13
"2, [6, 7]",1.0,16
"4, [13, 18]",1.0,20
"8, [34, 35]",4.0,19
"1, [22, 24]",1.0,8
"8, [7, 10]",2.0,15
"7, [28, 30]",3.0,13
"4, [23, 27]",1.0,13
"77, [5, 9]",2.0,5
"4, [25, 27]",2.0,15
"7, [33, 35]",4.0,20
"26, [18, 22]",6.0,11
"3, [1, 1]",6.0,18
"1, [21, 24]",1.0,
"11, [27, 29]",5.0,
"4, [25, 27]",2.0,
"5, [28, 29]",4.0,
"6, [30, 33]",4.0,
"1, [25, 28]",1.0,
"1, [14, 16]",1.0,
"2, [18, 21]",2.0,
"1, [3, 6]",1.0,
"23, [3, 3]",2.0,
"6, [3, 7]",2.0,
"16, [31, 35]",4.0,
"22, [10, 16]",6.0,
"14, [17, 19]",6.0,
"103, [19, 21]",1.0,
"103, [21, 22]",1.0,
"105, [3, 5]",3.0,
"11, [4, 8]",3.0,
"8, [3, 6]",2.0,
"4, [32, 34]",3.0,
"5, [7, 9]",2.0,
"6, [15, 15]",10.0,
"4, [2, 5]",1.0,
"10, [15, 18]",5.0,
"74, [29, 34]",4.0,
"69, [22, 25]",1.0,
"3, [3, 7]",1.0,
"9, [16, 19]",3.0,
"1, [2, 6]",1.0,
"105, [26, 27]",3.0,
"59, [3, 5]",1.0,
"29, [8, 11]",15.0,
"13, [11, 14]",4.0,
"2, [14, 16]",1.0,
"5, [19, 22]",3.0,
"1, [17, 21]",1.0,
"2, [20, 21]",1.0,
"9, [31, 34]",5.0,
"44, [9, 14]",14.0,
"15, [29, 32]",5.0,
"15, [3, 7]",3.0,
"2, [27, 27]",2.0,
"8, [11, 12]",4.0,
"4, [35, 35]",10.0,
"80, [3, 7]",1.0,
"11, [34, 35]",1.0,
"18, [30, 33]",5.0,
"40, [32, 34]",5.0,
"98, [34, 35]",2.0,
"2, [26, 29]",1.0,
"12, [25, 30]",5.0,
"2, [22, 25]",1.0,
"1, [34, 35]",1.0,
"15, [17, 19]",5.0,
"4, [25, 26]",4.0,
"3, [33, 35]",2.0,
"1, [13, 14]",1.0,
"5, [1, 4]",3.0,
"6, [19, 20]",3.0,
"7, [20, 26]",1.0,
"13, [28, 30]",5.0,
"2, [32, 35]",1.0,
"3, [13, 15]",1.0,
"2, [34, 35]",2.0,
"15, [15, 17]",6.0,
"50, [18, 21]",5.0,
"1, [21, 24]",1.0,
"2, [31, 33]",1.0,
"32, [16, 21]",7.0,
"19, [8, 14]",5.0,
"16, [25, 34]",3.0,
"17, [19, 28]",5.0,
"25, [15, 24]",3.0,
"4, [16, 25]",1.0,
"29, [1, 10]",4.0,
