bidding_profile,contribution,demand
"11, [7, 10]",3.0,20
"2, [29, 30]",2.0,18
"7, [4, 6]",3.0,17
"2, [7, 8]",2.0,18
"47, [69, 73]",10.0,18
"7, [9, 15]",1.0,19
"5, [46, 50]",1.0,14
"7, [60, 63]",4.0,13
"6, [70, 73]",2.0,15
"16, [27, 32]",3.0,17
"15, [35, 36]",12.0,6
"2, [46, 48]",1.0,7
"32, [56, 60]",5.0,15
"61, [48, 52]",4.0,19
"2, [27, 28]",1.0,20
"5, [41, 43]",4.0,12
"50, [13, 16]",1.0,18
"3, [46, 48]",1.0,9
"54, [6, 9]",1.0,8
"44, [43, 44]",3.0,8
"6, [22, 27]",1.0,17
"3, [74, 74]",2.0,12
"18, [25, 28]",5.0,11
"9, [11, 14]",3.0,9
"8, [56, 58]",4.0,17
"10, [47, 52]",4.0,10
"26, [48, 52]",1.0,18
"44, [37, 41]",5.0,10
"1, [49, 49]",1.0,13
"2, [6, 7]",1.0,7
"8, [47, 51]",2.0,18
"2, [64, 66]",1.0,12
"8, [51, 54]",2.0,8
"17, [47, 52]",3.0,13
"16, [38, 39]",8.0,16
"28, [1, 4]",9.0,11
"6, [35, 38]",9.0,20
"9, [6, 10]",5.0,18
"4, [56, 56]",4.0,6
"19, [18, 19]",12.0,20
"6, [46, 49]",2.0,18
"12, [1, 4]",3.0,12
"6, [11, 12]",3.0,11
"3, [48, 51]",2.0,7
"32, [18, 19]",4.0,12
"4, [43, 47]",2.0,10
"6, [30, 34]",2.0,13
"9, [37, 38]",8.0,10
"4, [42, 45]",1.0,8
"32, [36, 40]",11.0,16
"4, [8, 14]",1.0,10
"5, [68, 71]",2.0,7
"4, [51, 57]",1.0,9
"2, [65, 69]",1.0,8
"4, [73, 74]",6.0,16
"6, [55, 57]",6.0,18
"13, [6, 9]",5.0,17
"4, [42, 43]",4.0,16
"1, [42, 42]",1.0,9
"5, [16, 19]",2.0,12
"4, [45, 50]",1.0,19
"4, [53, 57]",1.0,15
"5, [27, 31]",1.0,8
"3, [52, 56]",1.0,12
"9, [44, 46]",2.0,14
"2, [45, 46]",2.0,13
"9, [61, 62]",6.0,5
"3, [44, 45]",2.0,5
"37, [37, 40]",9.0,15
"32, [31, 32]",2.0,19
"8, [28, 30]",3.0,17
"53, [25, 27]",3.0,5
