bidding_profile,contribution,demand
"4, [47, 50]",3.0,10
"350, [19, 24]",1.0,9
"15, [69, 74]",3.0,7
"44, [74, 75]",2.0,12
"132, [1, 4]",2.0,15
"4, [18, 21]",1.0,15
"1, [33, 33]",2.0,19
"3, [2, 7]",1.0,18
"2, [28, 30]",1.0,12
"65, [60, 61]",10.0,16
"220, [16, 17]",1.0,10
"2, [23, 25]",1.0,9
"169, [40, 41]",1.0,19
"11, [73, 75]",4.0,5
"15, [6, 11]",4.0,18
"1, [19, 19]",1.0,13
"233, [53, 56]",9.0,11
"2, [50, 51]",1.0,14
"2, [10, 11]",1.0,17
"122, [56, 62]",2.0,5
"6, [67, 69]",2.0,14
"290, [1, 4]",1.0,18
"1, [22, 23]",1.0,12
"4, [6, 7]",5.0,18
"209, [53, 56]",1.0,18
"3, [12, 14]",1.0,14
"48, [54, 59]",8.0,5
"4, [50, 53]",1.0,12
"20, [35, 37]",11.0,7
"2, [33, 38]",1.0,11
"114, [47, 52]",2.0,9
"7, [10, 12]",4.0,11
"2, [28, 29]",1.0,17
"3, [21, 25]",1.0,18
"9, [8, 10]",3.0,10
"296, [62, 64]",9.0,19
"4, [27, 30]",1.0,10
"4, [57, 61]",1.0,14
"5, [49, 53]",2.0,10
"6, [46, 47]",5.0,8
"39, [19, 21]",1.0,16
"3, [53, 53]",4.0,17
"7, [64, 67]",2.0,11
"2, [50, 54]",1.0,20
"147, [18, 23]",1.0,19
"13, [30, 32]",7.0,9
"54, [52, 57]",15.0,5
"4, [62, 63]",4.0,5
"34, [62, 68]",8.0,8
"5, [27, 31]",1.0,14
"1, [59, 61]",1.0,15
"12, [29, 35]",2.0,15
"15, [70, 73]",5.0,10
"124, [69, 70]",2.0,9
"4, [50, 55]",1.0,20
"13, [46, 50]",5.0,17
"4, [2, 4]",2.0,8
"4, [63, 67]",2.0,12
"15, [1, 4]",4.0,19
"2, [28, 30]",1.0,17
"2, [71, 75]",1.0,19
"364, [24, 26]",1.0,17
"20, [65, 69]",6.0,6
"2, [9, 10]",3.0,13
"6, [47, 50]",2.0,20
"3, [63, 66]",1.0,15
"5, [1, 3]",2.0,8
"4, [36, 39]",2.0,10
"6, [68, 73]",2.0,19
"228, [47, 48]",4.0,19
"6, [8, 13]",2.0,7
"512, [44, 48]",4.0,7
"2, [21, 24]",1.0,19
"3, [12, 12]",3.0,19
"104, [39, 43]",3.0,12
"21, [42, 43]",15.0,
"5, [4, 7]",2.0,
"7, [2, 5]",2.0,
"14, [66, 70]",4.0,
"6, [19, 25]",1.0,
"32, [60, 64]",9.0,
"381, [73, 75]",7.0,
"1, [2, 4]",1.0,
"5, [23, 27]",1.0,
"70, [35, 39]",17.0,
"247, [33, 35]",5.0,
"17, [7, 11]",2.0,
"180, [17, 20]",1.0,
"4, [47, 50]",1.0,
"6, [51, 57]",1.0,
"142, [29, 30]",1.0,
"19, [6, 10]",8.0,
"4, [2, 6]",1.0,
"25, [54, 57]",8.0,
"4, [7, 10]",2.0,
"1, [59, 59]",2.0,
"4, [3, 5]",2.0,
"325, [55, 61]",3.0,
"23, [35, 36]",18.0,
"13, [9, 15]",4.0,
"215, [43, 47]",13.0,
"2, [48, 49]",1.0,
"6, [37, 39]",3.0,
"7, [33, 38]",3.0,
"4, [64, 65]",6.0,
"92, [67, 69]",3.0,
"1, [4, 4]",1.0,
"6, [33, 36]",2.0,
"3, [22, 25]",1.0,
"3, [18, 21]",1.0,
"482, [75, 75]",2.0,
"1, [11, 11]",1.0,
"7, [72, 74]",3.0,
"1, [19, 20]",1.0,
"313, [34, 37]",19.0,
"16, [9, 12]",4.0,
"1, [10, 11]",1.0,
"231, [21, 25]",1.0,
"13, [69, 72]",6.0,
"18, [61, 64]",6.0,
"8, [9, 14]",3.0,
"22, [62, 67]",5.0,
"23, [60, 65]",5.0,
"6, [38, 39]",3.0,
"2, [1, 4]",1.0,
"26, [35, 41]",6.0,
"4, [58, 62]",1.0,
"3, [40, 41]",2.0,
"202, [45, 45]",7.0,
"6, [68, 72]",2.0,
"4, [33, 36]",1.0,
"4, [28, 31]",1.0,
"163, [55, 58]",3.0,
"11, [30, 33]",7.0,
"4, [17, 21]",1.0,
"2, [71, 71]",3.0,
"4, [56, 58]",2.0,
"443, [51, 56]",2.0,
"4, [28, 34]",1.0,
"99, [36, 41]",17.0,
"530, [2, 7]",3.0,
"4, [24, 27]",1.0,
"513, [22, 24]",1.0,
"8, [71, 74]",3.0,
"30, [61, 64]",9.0,
"14, [52, 55]",10.0,
"271, [66, 70]",2.0,
"9, [55, 58]",3.0,
"4, [28, 31]",1.0,
"4, [11, 13]",3.0,
"1, [40, 40]",1.0,
"15, [46, 48]",5.0,
"9, [58, 62]",2.0,
"5, [40, 43]",2.0,
"8, [8, 9]",4.0,
"3, [1, 5]",1.0,
"2, [2, 5]",1.0,
"1, [17, 18]",1.0,
"18, [60, 63]",6.0,
"3, [69, 69]",3.0,
"18, [14, 18]",4.0,
"1, [26, 27]",1.0,
"2, [49, 51]",2.0,
"2, [7, 8]",2.0,
"12, [5, 5]",13.0,
"3, [50, 52]",1.0,
"3, [69, 73]",1.0,
"457, [7, 10]",2.0,
"352, [33, 36]",1.0,
"11, [57, 62]",2.0,
"6, [29, 34]",2.0,
"1, [1, 1]",1.0,
"40, [53, 59]",7.0,
"35, [43, 46]",10.0,
"6, [1, 3]",4.0,
"5, [57, 60]",2.0,
"4, [23, 27]",1.0,
"4, [21, 25]",1.0,
"1, [26, 26]",1.0,
"2, [18, 21]",1.0,
"4, [25, 28]",1.0,
"4, [32, 35]",1.0,
"4, [2, 6]",2.0,
"147, [40, 45]",1.0,
"3, [54, 54]",8.0,
"24, [54, 57]",6.0,
"4, [2, 4]",2.0,
"18, [1, 6]",4.0,
"7, [41, 44]",2.0,
"2, [23, 25]",1.0,
"9, [45, 47]",3.0,
"6, [7, 9]",3.0,
"9, [49, 53]",2.0,
"3, [26, 29]",1.0,
"2, [51, 53]",2.0,
"28, [54, 59]",5.0,
"6, [1, 3]",3.0,
"4, [48, 51]",2.0,
"9, [54, 54]",9.0,
"229, [69, 72]",6.0,
"2, [12, 14]",1.0,
"3, [17, 19]",1.0,
"2, [24, 26]",1.0,
"14, [53, 59]",3.0,
"535, [12, 14]",1.0,
"2, [35, 37]",2.0,
"5, [29, 34]",1.0,
"14, [63, 67]",8.0,
"2, [18, 19]",1.0,
"2, [74, 75]",2.0,
"30, [6, 11]",8.0,
"59, [1, 5]",1.0,
"1, [48, 48]",1.0,
"245, [11, 14]",1.0,
"4, [24, 29]",1.0,
"2, [74, 75]",3.0,
"7, [71, 75]",4.0,
"40, [70, 75]",7.0,
"4, [22, 25]",1.0,
"386, [36, 41]",6.0,
"9, [1, 3]",3.0,
"4, [54, 59]",2.0,
"424, [10, 14]",4.0,
"4, [56, 57]",2.0,
"21, [46, 51]",6.0,
"329, [13, 28]",35.0,
