bidding_profile,contribution,demand
"52, [14, 18]",11.0,8
"48, [5, 10]",9.0,11
"105, [1, 4]",1.0,6
"7, [18, 19]",8.0,16
"38, [12, 14]",11.0,5
"2, [10, 12]",1.0,11
"12, [1, 6]",3.0,7
"5, [3, 5]",2.0,12
"34, [14, 15]",14.0,9
"91, [9, 14]",1.0,8
"3, [3, 7]",1.0,19
"6, [6, 10]",2.0,8
"86, [8, 9]",1.0,13
"37, [14, 17]",14.0,20
"21, [13, 17]",10.0,11
"20, [17, 19]",10.0,10
"97, [11, 12]",25.0,16
"81, [12, 15]",22.0,17
"1, [15, 17]",1.0,6
"9, [19, 20]",6.0,8
"8, [6, 10]",2.0,
"6, [11, 11]",18.0,
"4, [2, 5]",2.0,
"46, [14, 20]",16.0,
"46, [16, 20]",4.0,
"4, [16, 19]",3.0,
"47, [2, 4]",1.0,
"12, [1, 4]",4.0,
"2, [19, 20]",4.0,
"6, [9, 14]",1.0,
"3, [1, 4]",1.0,
"20, [13, 14]",12.0,
"1, [3, 4]",2.0,
"16, [5, 6]",9.0,
"94, [1, 3]",1.0,
"2, [1, 1]",4.0,
"11, [6, 8]",4.0,
"17, [2, 8]",3.0,
"42, [12, 15]",12.0,
"84, [8, 10]",1.0,
"3, [8, 13]",1.0,
"14, [1, 5]",4.0,
"2, [9, 10]",1.0,
"3, [8, 13]",1.0,
"2, [17, 17]",5.0,
"4, [18, 18]",6.0,
"4, [2, 7]",2.0,
"19, [13, 17]",10.0,
"4, [19, 20]",3.0,
"5, [7, 9]",2.0,
"1, [9, 10]",1.0,
"56, [15, 19]",14.0,
"2, [8, 10]",1.0,
"30, [13, 15]",16.0,
"76, [18, 19]",1.0,
"25, [13, 17]",5.0,
"7, [13, 15]",4.0,
"7, [16, 17]",11.0,
"43, [4, 7]",11.0,
"60, [1, 2]",3.0,
"80, [7, 14]",1.0,
"40, [12, 19]",11.0,
"15, [13, 20]",3.0,
