bidding_profile,contribution,demand
"2, [3, 5]",1.0,16
"23, [10, 11]",1.0,5
"4, [11, 14]",2.0,8
"11, [3, 6]",3.0,20
"7, [13, 19]",1.0,12
"8, [6, 9]",2.0,9
"26, [9, 14]",5.0,14
"8, [1, 6]",2.0,5
"10, [2, 4]",5.0,9
"9, [1, 2]",2.0,16
"5, [2, 5]",3.0,16
"10, [8, 12]",5.0,9
"1, [6, 6]",1.0,5
"1, [8, 10]",1.0,12
"7, [18, 19]",8.0,18
"7, [1, 3]",3.0,19
"30, [3, 8]",5.0,12
"5, [3, 8]",2.0,17
"9, [5, 9]",5.0,17
"21, [3, 7]",6.0,14
"2, [11, 12]",2.0,
"3, [20, 20]",6.0,
"3, [13, 15]",2.0,
"3, [3, 5]",2.0,
"3, [1, 4]",1.0,
"10, [15, 16]",15.0,
"49, [1, 6]",2.0,
"1, [1, 1]",4.0,
"6, [1, 5]",4.0,
"7, [1, 3]",4.0,
"1, [1, 2]",1.0,
"12, [17, 18]",6.0,
"8, [1, 3]",3.0,
"20, [2, 7]",4.0,
"16, [1, 4]",5.0,
"5, [6, 8]",3.0,
"6, [8, 10]",2.0,
"11, [2, 6]",4.0,
"6, [1, 6]",1.0,
"2, [1, 2]",2.0,
"10, [7, 10]",4.0,
"19, [9, 12]",5.0,
"5, [18, 20]",5.0,
"51, [4, 6]",5.0,
"2, [1, 4]",2.0,
"5, [7, 13]",2.0,
"14, [4, 7]",5.0,
"7, [7, 7]",3.0,
"11, [16, 18]",12.0,
"36, [4, 8]",3.0,
"6, [20, 20]",8.0,
"20, [1, 3]",3.0,
"53, [17, 20]",2.0,
"6, [17, 20]",2.0,
"24, [15, 16]",14.0,
"2, [17, 20]",1.0,
"30, [11, 13]",1.0,
"14, [15, 18]",2.0,
"1, [10, 12]",1.0,
"7, [7, 12]",2.0,
"53, [4, 11]",7.0,
"39, [8, 15]",5.0,
"56, [1, 8]",2.0,
