bidding_profile,contribution,demand
"32, [25, 30]",8.0,9
"9, [3, 5]",5.0,17
"8, [51, 53]",4.0,18
"6, [45, 46]",3.0,9
"92, [38, 40]",3.0,13
"6, [2, 5]",3.0,10
"2, [42, 45]",1.0,14
"1, [49, 53]",1.0,20
"9, [6, 12]",2.0,14
"14, [31, 33]",6.0,10
"88, [5, 9]",2.0,16
"138, [47, 51]",1.0,7
"19, [48, 53]",4.0,8
"6, [15, 18]",2.0,18
"7, [21, 25]",1.0,10
"4, [31, 34]",2.0,12
"1, [61, 64]",1.0,11
"12, [5, 8]",4.0,9
"6, [1, 2]",4.0,16
"3, [71, 72]",2.0,16
"4, [67, 71]",1.0,18
"122, [66, 68]",1.0,6
"3, [17, 20]",1.0,7
"7, [41, 44]",2.0,20
"1, [64, 66]",1.0,10
"3, [22, 25]",1.0,18
"1, [40, 43]",1.0,9
"5, [6, 7]",3.0,6
"146, [73, 74]",1.0,14
"128, [7, 7]",1.0,11
"4, [11, 17]",1.0,18
"14, [44, 47]",6.0,10
"8, [15, 18]",2.0,9
"3, [38, 38]",3.0,7
"6, [60, 62]",2.0,12
"1, [4, 5]",2.0,13
"15, [24, 28]",5.0,16
"2, [63, 66]",1.0,10
"2, [18, 22]",1.0,10
"3, [24, 28]",2.0,12
"7, [71, 75]",2.0,15
"75, [5, 9]",3.0,5
"1, [58, 60]",1.0,5
"2, [50, 52]",1.0,19
"9, [28, 30]",4.0,18
"22, [2, 7]",5.0,11
"4, [30, 33]",2.0,5
"138, [7, 8]",1.0,6
"4, [33, 35]",3.0,13
"3, [57, 57]",4.0,6
"2, [15, 18]",1.0,18
"7, [38, 40]",3.0,10
"8, [37, 42]",3.0,9
"71, [15, 16]",1.0,11
"150, [8, 11]",2.0,13
"29, [68, 70]",2.0,20
"13, [32, 35]",4.0,14
"2, [66, 66]",3.0,11
"5, [35, 39]",2.0,16
"8, [47, 51]",3.0,20
"7, [16, 20]",2.0,14
"17, [24, 29]",7.0,11
"7, [45, 48]",4.0,10
"100, [71, 73]",2.0,17
"5, [1, 5]",2.0,8
"12, [45, 48]",3.0,17
"3, [59, 63]",1.0,17
"6, [60, 63]",3.0,20
"3, [17, 19]",1.0,8
"8, [71, 75]",2.0,12
"8, [72, 75]",2.0,6
"10, [71, 75]",2.0,9
"96, [70, 70]",1.0,8
"19, [20, 23]",8.0,7
"57, [60, 64]",3.0,10
"5, [59, 60]",4.0,
"13, [49, 49]",1.0,
"3, [8, 12]",1.0,
"10, [45, 50]",3.0,
"3, [62, 65]",1.0,
"11, [56, 57]",10.0,
"3, [50, 54]",1.0,
"5, [38, 41]",2.0,
"11, [26, 28]",8.0,
"2, [23, 24]",1.0,
"2, [68, 69]",1.0,
"3, [42, 46]",2.0,
"1, [7, 8]",2.0,
"6, [34, 38]",3.0,
"6, [29, 30]",3.0,
"7, [60, 63]",2.0,
"11, [47, 52]",4.0,
"12, [1, 4]",3.0,
"1, [40, 42]",1.0,
"9, [1, 4]",3.0,
"9, [69, 74]",2.0,
"183, [64, 64]",4.0,
"4, [7, 10]",1.0,
"4, [63, 67]",1.0,
"1, [13, 14]",1.0,
"52, [31, 35]",1.0,
"4, [36, 39]",3.0,
"190, [35, 39]",3.0,
"9, [71, 75]",2.0,
"21, [55, 57]",7.0,
"2, [43, 46]",1.0,
"4, [26, 27]",3.0,
"9, [1, 4]",2.0,
"8, [29, 33]",3.0,
"170, [11, 14]",4.0,
"7, [4, 6]",5.0,
"1, [15, 16]",1.0,
"2, [56, 57]",2.0,
