bidding_profile,contribution,demand
"2, [9, 11]",1.0,20
"10, [38, 42]",3.0,10
"9, [4, 4]",2.0,12
"6, [40, 42]",4.0,13
"3, [64, 69]",1.0,16
"7, [77, 78]",11.0,5
"13, [68, 71]",4.0,19
"83, [93, 96]",4.0,10
"3, [23, 26]",1.0,7
"1, [43, 43]",3.0,8
"15, [68, 69]",15.0,17
"3, [57, 60]",1.0,5
"4, [7, 9]",2.0,14
"3, [29, 33]",1.0,15
"8, [37, 41]",2.0,7
"10, [67, 69]",10.0,11
"15, [99, 100]",18.0,19
"53, [28, 32]",1.0,19
"6, [10, 14]",2.0,12
"5, [35, 38]",2.0,11
"7, [62, 63]",5.0,9
"1, [57, 58]",2.0,5
"25, [7, 10]",2.0,16
"16, [5, 8]",5.0,19
"2, [50, 51]",1.0,11
"43, [76, 79]",22.0,7
"7, [1, 3]",5.0,5
"75, [60, 64]",16.0,12
"38, [78, 81]",11.0,5
"21, [26, 32]",3.0,13
"3, [73, 76]",1.0,16
"4, [65, 68]",1.0,20
"3, [81, 84]",1.0,20
"17, [79, 80]",9.0,15
"68, [64, 64]",1.0,19
"3, [1, 3]",2.0,11
"6, [97, 100]",2.0,18
"6, [56, 59]",2.0,17
"101, [38, 42]",1.0,14
"6, [45, 47]",3.0,13
"2, [91, 93]",1.0,12
"49, [98, 100]",32.0,18
"29, [86, 91]",10.0,7
"39, [12, 13]",4.0,16
"1, [1, 2]",2.0,8
"50, [85, 90]",20.0,11
"2, [29, 32]",1.0,20
"4, [40, 42]",2.0,9
"8, [27, 30]",3.0,8
"43, [58, 58]",2.0,6
"66, [58, 60]",1.0,7
"2, [71, 72]",3.0,10
"1, [45, 45]",3.0,14
"4, [64, 67]",1.0,13
"3, [97, 99]",1.0,18
"29, [75, 77]",1.0,20
"98, [65, 65]",1.0,5
"156, [24, 24]",1.0,17
"3, [30, 34]",1.0,7
"2, [90, 93]",1.0,20
"24, [79, 81]",8.0,15
"119, [2, 2]",4.0,10
"25, [96, 97]",3.0,19
"96, [11, 15]",4.0,10
"2, [70, 73]",2.0,13
"50, [81, 85]",1.0,18
"2, [35, 37]",1.0,8
"2, [39, 42]",1.0,5
"4, [96, 97]",2.0,17
"10, [39, 44]",4.0,18
"3, [83, 85]",1.0,12
"55, [59, 61]",1.0,11
"27, [2, 7]",7.0,18
"4, [16, 20]",1.0,19
"2, [37, 38]",1.0,14
"8, [87, 91]",3.0,16
"129, [20, 21]",1.0,15
"2, [53, 54]",1.0,15
"2, [79, 79]",4.0,7
"3, [36, 39]",1.0,19
"18, [46, 51]",3.0,9
"8, [61, 64]",4.0,9
"2, [49, 52]",2.0,5
"4, [43, 45]",4.0,7
"11, [42, 46]",4.0,17
"1, [88, 88]",1.0,12
"2, [84, 86]",1.0,15
"22, [68, 72]",5.0,17
"5, [9, 13]",1.0,15
"1, [34, 37]",1.0,8
"2, [81, 84]",1.0,13
"1, [48, 48]",2.0,16
"11, [71, 73]",7.0,10
"6, [53, 55]",3.0,11
"2, [16, 17]",1.0,16
"2, [52, 53]",3.0,18
"25, [71, 73]",9.0,14
"6, [14, 20]",1.0,19
"12, [68, 72]",6.0,20
"132, [22, 25]",2.0,16
"4, [57, 57]",2.0,
"21, [21, 25]",5.0,
"2, [15, 18]",1.0,
"3, [62, 66]",1.0,
"23, [86, 88]",14.0,
"1, [53, 54]",1.0,
"134, [16, 20]",1.0,
"3, [83, 86]",1.0,
"8, [71, 74]",2.0,
"1, [59, 62]",1.0,
"2, [29, 31]",1.0,
"12, [27, 32]",2.0,
"2, [8, 11]",1.0,
"128, [57, 58]",1.0,
"42, [2, 6]",2.0,
"5, [53, 56]",3.0,
"160, [65, 66]",1.0,
"37, [61, 64]",10.0,
"13, [55, 58]",8.0,
"163, [24, 27]",4.0,
"11, [96, 100]",3.0,
"6, [15, 21]",1.0,
"14, [88, 92]",3.0,
"3, [9, 11]",2.0,
"127, [86, 88]",5.0,
"1, [63, 64]",2.0,
"3, [51, 53]",1.0,
"59, [81, 83]",1.0,
"11, [4, 9]",5.0,
"2, [10, 10]",2.0,
"8, [86, 87]",6.0,
"20, [22, 25]",5.0,
"3, [7, 9]",2.0,
"66, [77, 81]",17.0,
"13, [24, 28]",3.0,
"2, [47, 48]",3.0,
"5, [57, 59]",2.0,
"15, [54, 58]",3.0,
"104, [26, 30]",3.0,
"139, [53, 59]",2.0,
"117, [24, 26]",1.0,
"3, [9, 11]",1.0,
"2, [67, 68]",2.0,
"5, [27, 30]",2.0,
"5, [100, 100]",6.0,
"5, [8, 10]",2.0,
"3, [10, 11]",2.0,
"6, [55, 57]",6.0,
"4, [45, 49]",2.0,
"4, [50, 51]",2.0,
"27, [41, 47]",4.0,
"7, [53, 58]",3.0,
"17, [70, 73]",5.0,
"36, [99, 100]",24.0,
"43, [1, 4]",6.0,
"8, [97, 100]",2.0,
"10, [4, 9]",3.0,
"4, [1, 4]",2.0,
"154, [12, 16]",8.0,
"18, [35, 41]",5.0,
"2, [2, 2]",3.0,
"37, [69, 75]",9.0,
"77, [69, 75]",11.0,
"129, [23, 26]",4.0,
"130, [30, 34]",1.0,
"160, [65, 66]",1.0,
"12, [25, 28]",3.0,
"3, [83, 86]",1.0,
"3, [94, 98]",1.0,
"15, [86, 88]",6.0,
"9, [88, 90]",3.0,
"5, [83, 87]",1.0,
"10, [2, 6]",5.0,
