bidding_profile,contribution,demand
"3, [68, 70]",1.0,10
"41, [79, 82]",11.0,15
"4, [4, 10]",1.0,20
"10, [82, 83]",9.0,16
"1, [60, 61]",1.0,10
"39, [4, 5]",2.0,10
"6, [74, 79]",1.0,8
"26, [69, 72]",9.0,15
"49, [3, 6]",1.0,19
"3, [95, 98]",2.0,17
"17, [85, 87]",7.0,14
"13, [76, 81]",3.0,10
"7, [15, 19]",2.0,7
"8, [33, 34]",4.0,18
"10, [30, 32]",7.0,16
"15, [99, 100]",12.0,6
"3, [94, 97]",2.0,7
"4, [67, 71]",1.0,12
"36, [81, 86]",6.0,6
"39, [83, 87]",8.0,15
"79, [9, 9]",2.0,13
"6, [58, 63]",3.0,19
"1, [60, 64]",1.0,20
"16, [88, 90]",4.0,8
"7, [22, 27]",3.0,7
"7, [85, 87]",6.0,15
"78, [60, 65]",1.0,11
"6, [93, 98]",2.0,8
"15, [82, 87]",6.0,11
"38, [80, 85]",10.0,18
"7, [39, 41]",5.0,10
"27, [36, 38]",1.0,17
"8, [88, 89]",6.0,12
"3, [97, 99]",1.0,6
"5, [73, 78]",1.0,10
"53, [93, 96]",4.0,5
"8, [85, 86]",7.0,12
"35, [74, 79]",1.0,16
"20, [31, 35]",11.0,19
"6, [15, 18]",2.0,7
"67, [94, 96]",3.0,9
"27, [22, 28]",5.0,7
"6, [1, 4]",3.0,8
"2, [6, 10]",1.0,8
"28, [96, 100]",2.0,10
"2, [99, 100]",1.0,19
"1, [44, 47]",1.0,9
"2, [95, 98]",1.0,10
"9, [43, 49]",2.0,8
"99, [73, 74]",1.0,17
"59, [30, 35]",11.0,8
"7, [50, 51]",4.0,15
"48, [23, 26]",5.0,15
"7, [11, 14]",3.0,18
"11, [22, 25]",3.0,20
"1, [2, 5]",1.0,18
"11, [65, 68]",3.0,10
"19, [75, 78]",5.0,14
"19, [73, 75]",1.0,18
"3, [89, 91]",1.0,8
"2, [57, 58]",1.0,16
"3, [41, 43]",1.0,13
"33, [20, 25]",6.0,11
"5, [24, 26]",3.0,7
"11, [90, 95]",2.0,11
"3, [1, 3]",3.0,11
"3, [99, 100]",5.0,8
"5, [35, 38]",3.0,6
"7, [93, 96]",3.0,17
"17, [61, 62]",12.0,12
"1, [3, 7]",1.0,15
"2, [76, 77]",1.0,14
"71, [12, 17]",3.0,5
"2, [3, 5]",1.0,6
"113, [21, 26]",1.0,9
"23, [90, 96]",4.0,11
"3, [53, 54]",3.0,17
"6, [94, 95]",3.0,11
"2, [4, 4]",2.0,16
"3, [12, 15]",1.0,18
"2, [37, 40]",2.0,13
"5, [87, 92]",1.0,12
"84, [25, 25]",1.0,8
"22, [82, 85]",6.0,20
"4, [36, 38]",2.0,18
"58, [50, 53]",3.0,16
"19, [9, 12]",7.0,5
"81, [54, 57]",3.0,14
"6, [43, 46]",2.0,19
"8, [5, 9]",2.0,10
"5, [1, 2]",3.0,12
"6, [58, 63]",1.0,5
"4, [84, 86]",4.0,11
"8, [64, 67]",4.0,10
"1, [41, 43]",1.0,5
"58, [3, 4]",1.0,14
"11, [1, 6]",4.0,17
"20, [80, 82]",10.0,20
"65, [19, 21]",2.0,7
"6, [10, 12]",3.0,10
"75, [69, 70]",12.0,
"2, [7, 9]",1.0,
"34, [64, 67]",4.0,
"7, [64, 67]",2.0,
"5, [20, 22]",5.0,
"73, [42, 43]",1.0,
"4, [25, 30]",1.0,
"10, [90, 91]",5.0,
"92, [29, 31]",2.0,
"6, [88, 91]",3.0,
"70, [71, 74]",5.0,
"4, [91, 92]",5.0,
"9, [61, 64]",3.0,
"10, [49, 54]",5.0,
"1, [84, 84]",2.0,
"74, [60, 61]",1.0,
"84, [88, 94]",1.0,
"28, [62, 65]",9.0,
"9, [10, 16]",2.0,
"61, [22, 24]",4.0,
"3, [12, 14]",2.0,
"8, [52, 56]",3.0,
"1, [68, 69]",1.0,
"99, [98, 99]",16.0,
"2, [13, 17]",1.0,
"1, [58, 58]",2.0,
"23, [78, 82]",5.0,
"10, [47, 51]",5.0,
"11, [10, 14]",3.0,
"6, [31, 36]",2.0,
"30, [34, 39]",5.0,
"2, [46, 47]",3.0,
"55, [36, 40]",3.0,
"1, [17, 17]",1.0,
"8, [53, 58]",4.0,
"7, [43, 47]",2.0,
"27, [84, 87]",9.0,
"9, [50, 56]",3.0,
"102, [6, 12]",2.0,
"3, [96, 100]",2.0,
"16, [52, 57]",4.0,
"7, [27, 31]",2.0,
"11, [16, 19]",3.0,
"8, [97, 100]",2.0,
"6, [1, 2]",1.0,
"16, [63, 67]",4.0,
"3, [3, 7]",2.0,
"1, [16, 18]",1.0,
"7, [89, 93]",3.0,
"2, [42, 47]",1.0,
"6, [1, 6]",2.0,
"2, [58, 64]",1.0,
"6, [10, 12]",3.0,
"20, [79, 79]",1.0,
"4, [94, 95]",2.0,
"1, [28, 28]",1.0,
"14, [53, 58]",4.0,
"5, [70, 71]",8.0,
"1, [44, 46]",1.0,
"94, [48, 52]",3.0,
"6, [25, 27]",3.0,
"16, [47, 51]",5.0,
"5, [34, 34]",5.0,
"2, [5, 8]",1.0,
"17, [83, 85]",6.0,
"1, [97, 100]",1.0,
"3, [54, 56]",3.0,
"5, [4, 7]",2.0,
"12, [70, 75]",3.0,
"14, [1, 4]",4.0,
"34, [83, 86]",9.0,
"1, [72, 72]",1.0,
"17, [82, 87]",6.0,
"4, [89, 89]",4.0,
"4, [26, 27]",2.0,
"10, [76, 81]",2.0,
"95, [45, 50]",1.0,
"67, [12, 18]",1.0,
"8, [94, 98]",3.0,
"21, [52, 57]",4.0,
"4, [11, 15]",1.0,
"16, [32, 37]",5.0,
"7, [30, 34]",2.0,
"13, [2, 5]",4.0,
"6, [78, 78]",10.0,
"5, [51, 54]",2.0,
"2, [38, 41]",2.0,
"10, [88, 92]",2.0,
"11, [65, 68]",3.0,
"13, [9, 11]",5.0,
"64, [78, 83]",12.0,
"113, [78, 82]",13.0,
"1, [34, 34]",1.0,
"5, [25, 29]",1.0,
"2, [33, 35]",1.0,
"36, [79, 84]",10.0,
"4, [33, 33]",5.0,
"5, [12, 18]",1.0,
"57, [70, 72]",4.0,
"5, [17, 19]",3.0,
"10, [18, 24]",2.0,
"72, [2, 4]",1.0,
"5, [58, 60]",3.0,
"2, [7, 10]",2.0,
"15, [99, 100]",14.0,
"10, [65, 68]",3.0,
"1, [57, 59]",1.0,
"4, [78, 81]",1.0,
"2, [41, 43]",1.0,
"4, [12, 13]",3.0,
"23, [16, 17]",1.0,
"33, [77, 79]",16.0,
"2, [76, 77]",2.0,
"3, [11, 14]",1.0,
"8, [2, 8]",2.0,
"35, [78, 83]",12.0,
"84, [57, 61]",1.0,
"47, [2, 6]",2.0,
"6, [42, 47]",1.0,
"2, [12, 15]",1.0,
"1, [25, 25]",2.0,
"1, [97, 99]",1.0,
"29, [62, 66]",9.0,
"58, [28, 34]",2.0,
"1, [51, 54]",1.0,
"1, [87, 91]",1.0,
"6, [3, 5]",2.0,
"77, [52, 53]",1.0,
"5, [37, 40]",2.0,
"1, [97, 100]",1.0,
"52, [7, 9]",2.0,
"19, [79, 82]",6.0,
"10, [92, 95]",4.0,
"17, [1, 2]",2.0,
"13, [90, 93]",4.0,
"1, [25, 27]",1.0,
"14, [89, 93]",5.0,
"9, [96, 100]",2.0,
"10, [19, 24]",2.0,
"33, [81, 85]",10.0,
"3, [4, 6]",2.0,
"3, [84, 87]",2.0,
"89, [39, 41]",2.0,
"111, [28, 32]",1.0,
"7, [11, 16]",2.0,
"15, [84, 89]",4.0,
"6, [47, 52]",3.0,
"12, [34, 37]",1.0,
"2, [72, 73]",1.0,
"106, [9, 12]",1.0,
"3, [26, 29]",2.0,
"11, [51, 53]",4.0,
"47, [74, 77]",1.0,
"14, [55, 57]",3.0,
"6, [28, 33]",1.0,
"10, [75, 79]",6.0,
"1, [82, 86]",1.0,
"6, [21, 24]",5.0,
"20, [48, 53]",5.0,
"111, [83, 87]",5.0,
"107, [46, 48]",4.0,
"4, [1, 2]",2.0,
"36, [2, 6]",1.0,
"5, [31, 34]",2.0,
"4, [97, 100]",2.0,
"2, [45, 46]",1.0,
"5, [12, 15]",3.0,
"83, [81, 82]",7.0,
"2, [49, 52]",1.0,
"1, [36, 36]",1.0,
"4, [3, 9]",2.0,
"3, [48, 50]",3.0,
"3, [20, 22]",1.0,
"5, [10, 14]",1.0,
"2, [66, 69]",2.0,
"11, [38, 41]",4.0,
"2, [76, 77]",2.0,
"12, [46, 51]",6.0,
"8, [38, 40]",4.0,
"5, [1, 3]",4.0,
"13, [99, 100]",11.0,
"91, [74, 75]",1.0,
"104, [21, 24]",4.0,
"2, [55, 58]",1.0,
"3, [96, 100]",2.0,
"16, [34, 37]",5.0,
"99, [46, 52]",6.0,
"5, [7, 10]",2.0,
"4, [14, 18]",1.0,
"1, [53, 54]",1.0,
"29, [9, 13]",3.0,
