bidding_profile,contribution,demand
"45, [69, 72]",2.0,7
"4, [70, 73]",1.0,13
"7, [89, 93]",3.0,8
"2, [20, 23]",1.0,15
"2, [83, 85]",1.0,10
"4, [97, 100]",2.0,12
"1, [28, 28]",1.0,10
"5, [55, 56]",4.0,8
"17, [63, 65]",6.0,5
"20, [6, 10]",4.0,13
"6, [88, 90]",2.0,13
"27, [29, 33]",6.0,15
"17, [83, 85]",1.0,20
"1, [80, 83]",1.0,13
"1, [81, 85]",1.0,5
"26, [23, 28]",8.0,14
"50, [2, 4]",2.0,7
"30, [35, 40]",6.0,5
"1, [90, 90]",1.0,19
"7, [28, 31]",3.0,16
"67, [59, 64]",2.0,11
"2, [15, 17]",1.0,7
"2, [52, 57]",1.0,14
"4, [1, 4]",1.0,14
"12, [53, 56]",6.0,10
"12, [97, 100]",5.0,18
"6, [59, 61]",3.0,17
"8, [28, 30]",5.0,15
"3, [33, 39]",1.0,20
"49, [71, 74]",14.0,16
"17, [57, 59]",6.0,19
"4, [82, 82]",5.0,11
"2, [4, 6]",1.0,16
"8, [48, 51]",2.0,12
"3, [63, 66]",2.0,15
"84, [58, 61]",4.0,5
"2, [20, 21]",1.0,12
"6, [87, 89]",3.0,17
"1, [46, 49]",1.0,10
"6, [66, 69]",2.0,19
"12, [35, 37]",10.0,19
"8, [48, 51]",2.0,11
"117, [88, 92]",4.0,8
"9, [41, 41]",16.0,5
"111, [8, 10]",1.0,14
"6, [27, 28]",7.0,18
"34, [29, 33]",8.0,20
"30, [24, 28]",5.0,8
"1, [100, 100]",1.0,16
"28, [73, 76]",11.0,18
"3, [65, 67]",3.0,14
"18, [80, 81]",1.0,11
"5, [17, 17]",5.0,20
"3, [95, 100]",1.0,13
"18, [72, 77]",9.0,19
"1, [50, 54]",1.0,7
"4, [61, 63]",2.0,19
"11, [1, 5]",3.0,9
"15, [27, 29]",8.0,10
"5, [26, 27]",5.0,7
"81, [52, 54]",2.0,10
"5, [52, 54]",2.0,10
"6, [68, 70]",3.0,14
"3, [84, 87]",2.0,6
"3, [67, 68]",2.0,19
"89, [4, 8]",2.0,17
"17, [77, 82]",4.0,9
"2, [14, 15]",2.0,8
"65, [3, 3]",2.0,16
"49, [99, 100]",1.0,13
"114, [50, 50]",1.0,15
"82, [55, 59]",2.0,15
"2, [15, 17]",2.0,20
"3, [9, 13]",1.0,11
"2, [31, 33]",2.0,20
"10, [72, 75]",8.0,14
"4, [29, 34]",1.0,10
"14, [50, 54]",3.0,9
"1, [44, 46]",1.0,11
"20, [96, 99]",5.0,11
"13, [28, 31]",8.0,7
"2, [55, 56]",2.0,17
"102, [30, 36]",2.0,16
"5, [80, 85]",1.0,10
"2, [8, 11]",1.0,18
"9, [37, 39]",9.0,11
"5, [47, 52]",2.0,19
"4, [21, 25]",1.0,10
"8, [87, 91]",3.0,5
"1, [10, 10]",2.0,12
"22, [12, 17]",1.0,7
"1, [65, 67]",1.0,18
"72, [38, 43]",3.0,18
"66, [19, 22]",18.0,20
"5, [39, 44]",1.0,12
"4, [6, 9]",1.0,13
"2, [76, 77]",2.0,10
"93, [58, 62]",2.0,18
"104, [87, 92]",2.0,15
"2, [47, 48]",1.0,12
"113, [56, 60]",3.0,
"103, [51, 51]",2.0,
"115, [59, 62]",1.0,
"8, [28, 29]",6.0,
"7, [47, 52]",2.0,
"11, [6, 9]",4.0,
"84, [48, 49]",2.0,
"2, [20, 23]",1.0,
"8, [76, 78]",8.0,
"17, [13, 17]",5.0,
"58, [98, 100]",7.0,
"8, [36, 36]",9.0,
"17, [63, 67]",4.0,
"2, [67, 69]",2.0,
"96, [60, 66]",2.0,
"66, [13, 14]",5.0,
"4, [93, 97]",1.0,
"3, [87, 92]",1.0,
"3, [1, 4]",2.0,
"2, [2, 3]",1.0,
"4, [81, 86]",1.0,
"4, [78, 81]",2.0,
"6, [11, 13]",3.0,
"106, [33, 36]",1.0,
"4, [66, 69]",1.0,
"2, [57, 57]",2.0,
"1, [80, 80]",1.0,
"2, [86, 88]",1.0,
"9, [57, 58]",6.0,
"1, [21, 23]",1.0,
"22, [91, 96]",3.0,
"65, [21, 21]",1.0,
"1, [95, 96]",1.0,
"6, [1, 5]",3.0,
"15, [91, 95]",3.0,
"9, [2, 6]",2.0,
"108, [15, 18]",5.0,
"10, [75, 77]",5.0,
