bidding_profile,contribution,demand
"98, [25, 29]",9.0,6
"2, [77, 78]",1.0,8
"3, [62, 63]",2.0,5
"4, [79, 83]",1.0,6
"3, [52, 53]",3.0,9
"46, [28, 30]",5.0,17
"34, [25, 31]",5.0,11
"126, [46, 47]",2.0,11
"5, [2, 4]",2.0,7
"32, [66, 66]",1.0,11
"21, [58, 62]",7.0,11
"7, [52, 56]",2.0,20
"23, [6, 9]",6.0,5
"5, [77, 83]",1.0,5
"18, [77, 78]",1.0,14
"13, [13, 14]",2.0,17
"109, [70, 70]",3.0,7
"19, [52, 55]",5.0,10
"3, [77, 79]",1.0,5
"18, [11, 14]",5.0,9
"14, [51, 54]",5.0,12
"1, [4, 6]",1.0,9
"2, [31, 32]",3.0,13
"6, [34, 39]",2.0,9
"39, [42, 48]",3.0,16
"11, [5, 6]",1.0,11
"78, [73, 73]",1.0,5
"4, [77, 80]",1.0,10
"2, [74, 75]",1.0,15
"5, [1, 3]",3.0,16
"2, [35, 39]",1.0,20
"15, [7, 10]",5.0,10
"69, [13, 13]",3.0,9
"2, [1, 3]",2.0,14
"2, [33, 38]",1.0,16
"2, [81, 84]",1.0,14
"7, [13, 14]",5.0,14
"4, [56, 59]",2.0,7
"14, [29, 33]",3.0,6
"5, [50, 52]",3.0,9
"1, [66, 67]",1.0,10
"4, [6, 7]",4.0,14
"90, [50, 53]",2.0,17
"78, [8, 11]",2.0,20
"3, [39, 45]",1.0,12
"31, [25, 29]",8.0,8
"1, [1, 1]",1.0,13
"2, [2, 4]",1.0,17
"7, [12, 14]",5.0,13
"5, [4, 6]",2.0,19
"89, [68, 68]",1.0,19
"3, [47, 50]",1.0,9
"4, [53, 56]",1.0,17
"51, [21, 22]",1.0,20
"4, [71, 73]",2.0,12
"2, [31, 35]",1.0,9
"7, [65, 71]",1.0,20
"3, [40, 44]",2.0,12
"5, [81, 85]",1.0,6
"5, [5, 10]",1.0,18
"9, [8, 10]",5.0,9
"1, [22, 25]",1.0,5
"24, [27, 32]",5.0,17
"1, [78, 80]",1.0,15
"6, [24, 29]",3.0,10
"2, [13, 13]",3.0,10
"60, [1, 1]",2.0,6
"3, [15, 18]",2.0,20
"2, [46, 49]",1.0,10
"4, [48, 52]",2.0,5
"5, [52, 56]",1.0,11
"11, [10, 13]",5.0,17
"4, [45, 49]",2.0,16
"158, [34, 35]",1.0,5
"2, [38, 41]",2.0,5
"5, [15, 18]",2.0,9
"58, [73, 76]",1.0,17
"27, [55, 60]",5.0,19
"46, [26, 32]",8.0,16
"3, [61, 63]",1.0,14
"12, [9, 11]",5.0,7
"1, [76, 78]",1.0,11
"147, [5, 7]",1.0,17
"2, [82, 85]",1.0,5
"7, [15, 18]",2.0,20
"12, [71, 77]",2.0,
"10, [54, 57]",5.0,
"92, [28, 29]",5.0,
"34, [68, 73]",7.0,
"7, [63, 66]",3.0,
"2, [68, 70]",1.0,
"11, [17, 22]",3.0,
"2, [64, 68]",1.0,
"8, [83, 85]",3.0,
"5, [54, 54]",6.0,
"3, [46, 49]",2.0,
"1, [46, 48]",1.0,
"1, [66, 68]",1.0,
"2, [53, 54]",4.0,
"8, [1, 5]",2.0,
