bidding_profile,contribution,demand
"1, [9, 11]",1.0,20
"43, [38, 42]",10.0,13
"2, [4, 4]",7.0,17
"3, [40, 42]",3.0,17
"128, [64, 69]",2.0,12
"1, [77, 78]",2.0,10
"15, [68, 71]",4.0,8
"12, [24, 27]",3.0,15
"8, [58, 60]",3.0,11
"1, [16, 16]",1.0,12
"5, [18, 21]",2.0,16
"171, [56, 56]",1.0,19
"65, [70, 73]",27.0,5
"8, [18, 23]",2.0,5
"16, [63, 66]",4.0,5
"3, [73, 73]",10.0,19
"19, [74, 77]",6.0,9
"1, [35, 37]",1.0,5
"4, [29, 34]",2.0,19
"2, [55, 58]",1.0,16
"106, [1, 5]",2.0,15
"3, [21, 21]",4.0,10
"3, [15, 17]",1.0,11
"86, [69, 72]",26.0,14
"126, [50, 51]",4.0,20
"192, [76, 79]",3.0,14
"133, [1, 3]",7.0,20
"9, [60, 64]",2.0,15
"1, [78, 81]",1.0,17
"74, [26, 32]",2.0,12
"24, [73, 76]",7.0,16
"11, [65, 68]",3.0,16
"3, [81, 84]",1.0,7
"1, [79, 80]",1.0,11
"1, [64, 64]",3.0,11
"10, [1, 3]",6.0,14
"231, [53, 57]",2.0,5
"6, [52, 54]",3.0,17
"1, [55, 58]",1.0,11
"6, [39, 40]",6.0,19
"2, [15, 20]",1.0,11
"71, [44, 47]",25.0,6
"1, [4, 5]",1.0,7
"3, [6, 9]",1.0,17
"465, [48, 49]",1.0,9
"58, [50, 53]",4.0,14
"3, [83, 85]",1.0,19
"132, [77, 80]",2.0,10
"449, [58, 58]",2.0,18
"357, [58, 60]",1.0,5
"15, [71, 72]",10.0,12
"7, [45, 45]",13.0,12
"11, [64, 67]",3.0,11
"2, [82, 84]",1.0,16
"7, [75, 77]",5.0,11
"93, [65, 65]",1.0,15
"2, [24, 24]",2.0,20
"480, [30, 34]",1.0,14
"1, [81, 84]",1.0,12
"3, [79, 81]",3.0,9
"3, [2, 2]",3.0,12
"1, [23, 23]",3.0,20
"1, [81, 85]",1.0,16
"5, [70, 73]",2.0,11
"412, [81, 85]",1.0,13
"2, [35, 37]",1.0,16
"15, [39, 42]",6.0,18
"4, [29, 31]",2.0,13
"12, [56, 59]",3.0,20
"8, [73, 77]",5.0,15
"7, [39, 39]",10.0,19
"9, [66, 71]",3.0,8
"338, [16, 20]",3.0,20
"233, [37, 38]",4.0,10
"2, [57, 59]",1.0,19
