bidding_profile,contribution,demand
"15, [8, 9]",9.0,10
"4, [7, 10]",1.0,12
"1, [3, 5]",1.0,9
"2, [7, 7]",2.0,10
"28, [1, 4]",9.0,13
"1, [4, 6]",1.0,18
"3, [7, 9]",1.0,17
"1, [8, 8]",1.0,18
"31, [1, 2]",5.0,5
"4, [2, 5]",1.0,19
"1, [3, 3]",1.0,
"13, [8, 10]",11.0,
"9, [6, 6]",2.0,
"1, [4, 7]",1.0,
"1, [1, 2]",1.0,
"43, [2, 5]",1.0,
"1, [7, 7]",2.0,
"5, [5, 8]",3.0,
"1, [1, 1]",2.0,
"3, [3, 6]",1.0,
"13, [9, 10]",7.0,
"1, [2, 2]",1.0,
"7, [2, 4]",3.0,
"8, [7, 10]",2.0,
"1, [7, 7]",1.0,
"45, [5, 7]",16.0,
"30, [6, 8]",2.0,
"2, [6, 8]",1.0,
"18, [9, 10]",11.0,
"6, [6, 7]",5.0,
"9, [2, 6]",3.0,
"27, [6, 10]",2.0,
