bidding_profile,contribution,demand
"3, [30, 34]",1.0,6
"42, [40, 44]",1.0,12
"8, [48, 50]",3.0,8
"7, [33, 36]",2.0,14
"6, [44, 45]",3.0,7
"3, [23, 25]",1.0,20
"9, [20, 22]",5.0,11
"22, [3, 8]",5.0,20
"2, [41, 41]",5.0,20
"26, [43, 48]",5.0,9
"1, [1, 3]",1.0,17
"5, [15, 18]",2.0,17
"24, [10, 15]",4.0,8
"17, [42, 46]",4.0,8
"1, [17, 18]",1.0,17
"19, [27, 30]",12.0,10
"5, [27, 31]",3.0,6
"25, [35, 37]",2.0,10
"2, [23, 24]",1.0,17
"4, [23, 26]",1.0,17
"6, [30, 32]",2.0,15
"2, [47, 48]",2.0,14
"2, [14, 18]",1.0,14
"1, [22, 22]",2.0,9
"3, [5, 8]",1.0,13
"54, [31, 37]",8.0,16
"35, [34, 40]",7.0,19
"15, [31, 34]",5.0,20
"2, [6, 8]",2.0,6
"8, [50, 50]",9.0,13
"19, [29, 31]",10.0,19
"14, [19, 24]",4.0,20
"77, [4, 7]",1.0,19
"6, [27, 28]",4.0,7
"3, [43, 43]",4.0,13
"8, [10, 11]",9.0,20
"12, [10, 12]",8.0,10
"15, [42, 44]",5.0,15
"1, [12, 13]",1.0,12
"2, [36, 38]",1.0,19
"53, [7, 13]",2.0,9
"21, [26, 29]",12.0,14
"4, [15, 17]",2.0,12
"41, [40, 45]",7.0,20
"4, [21, 22]",3.0,5
"23, [32, 37]",6.0,16
"26, [9, 11]",12.0,15
"3, [23, 25]",1.0,10
"36, [7, 7]",1.0,5
"56, [5, 10]",1.0,17
"33, [28, 32]",10.0,
"12, [42, 45]",3.0,
"2, [14, 16]",1.0,
"10, [19, 20]",7.0,
"20, [33, 37]",7.0,
"3, [16, 18]",1.0,
"7, [44, 47]",4.0,
"8, [45, 47]",3.0,
"27, [8, 12]",10.0,
"18, [29, 32]",7.0,
"6, [32, 37]",1.0,
"2, [7, 9]",2.0,
"17, [48, 50]",4.0,
"9, [1, 3]",3.0,
"50, [30, 35]",9.0,
"63, [41, 42]",4.0,
"2, [1, 3]",1.0,
"1, [13, 14]",1.0,
"32, [10, 13]",12.0,
"44, [6, 11]",1.0,
"3, [13, 16]",1.0,
"3, [25, 25]",8.0,
"71, [4, 9]",1.0,
"62, [40, 40]",7.0,
"38, [22, 27]",3.0,
"10, [28, 31]",6.0,
"54, [29, 33]",7.0,
"74, [41, 41]",5.0,
"1, [15, 16]",1.0,
"36, [29, 33]",9.0,
"5, [31, 37]",9.0,
"14, [33, 35]",5.0,
"5, [2, 6]",2.0,
"5, [23, 27]",1.0,
"12, [42, 46]",4.0,
"5, [18, 22]",2.0,
"9, [30, 31]",9.0,
"6, [3, 8]",2.0,
"2, [24, 27]",1.0,
"9, [27, 29]",4.0,
"12, [39, 44]",3.0,
"6, [40, 42]",3.0,
"19, [21, 23]",1.0,
"35, [14, 16]",1.0,
"6, [48, 50]",4.0,
"4, [4, 10]",1.0,
"14, [20, 25]",3.0,
"14, [16, 20]",4.0,
"27, [9, 15]",5.0,
"12, [47, 50]",4.0,
"16, [16, 21]",3.0,
"11, [42, 45]",3.0,
"2, [21, 22]",2.0,
"8, [1, 6]",2.0,
"56, [2, 7]",7.0,
"57, [10, 15]",12.0,
"28, [30, 33]",3.0,
"2, [1, 2]",1.0,
"8, [41, 43]",4.0,
"4, [45, 49]",2.0,
"13, [2, 4]",8.0,
"3, [1, 1]",3.0,
"20, [36, 41]",4.0,
"2, [45, 46]",2.0,
"18, [29, 33]",4.0,
"11, [34, 36]",7.0,
"1, [19, 19]",2.0,
"4, [14, 20]",1.0,
"12, [31, 35]",6.0,
"44, [1, 3]",1.0,
"4, [17, 21]",2.0,
"5, [23, 27]",2.0,
"13, [37, 43]",2.0,
"3, [12, 17]",1.0,
"7, [24, 27]",2.0,
"5, [47, 50]",3.0,
"12, [32, 35]",7.0,
"7, [6, 9]",2.0,
"10, [35, 37]",5.0,
"4, [4, 10]",1.0,
"2, [14, 16]",1.0,
"7, [21, 23]",3.0,
"12, [31, 33]",9.0,
"7, [50, 50]",8.0,
"38, [16, 16]",2.0,
"18, [32, 37]",7.0,
"24, [34, 37]",6.0,
"4, [1, 3]",3.0,
"16, [47, 50]",4.0,
"3, [28, 28]",3.0,
"21, [17, 23]",4.0,
"20, [44, 48]",4.0,
"13, [26, 29]",9.0,
"6, [22, 24]",3.0,
"11, [40, 45]",5.0,
"39, [35, 38]",6.0,
"1, [46, 47]",1.0,
"73, [8, 12]",16.0,
"15, [36, 39]",4.0,
"4, [37, 40]",2.0,
"20, [4, 15]",1.0,
"54, [39, 50]",3.0,
"56, [22, 33]",1.0,
"66, [26, 37]",7.0,
"11, [34, 45]",1.0,
"64, [20, 31]",1.0,
"74, [5, 16]",1.0,
"12, [4, 15]",1.0,
