bidding_profile,contribution,demand
"36, [15, 18]",17.0,9
"14, [1, 4]",8.0,13
"2, [46, 46]",2.0,16
"3, [29, 35]",1.0,8
"2, [33, 36]",1.0,20
"9, [45, 48]",3.0,19
"1, [34, 34]",1.0,15
"6, [24, 26]",5.0,19
"70, [20, 20]",9.0,17
"139, [13, 13]",3.0,18
"47, [15, 17]",20.0,18
"5, [43, 45]",4.0,7
"2, [36, 40]",1.0,15
"19, [1, 4]",5.0,20
"17, [18, 21]",5.0,10
"123, [31, 36]",7.0,18
"1, [38, 39]",1.0,14
"2, [38, 44]",1.0,16
"25, [31, 35]",6.0,12
"9, [22, 24]",3.0,19
"16, [30, 32]",9.0,10
"3, [38, 42]",1.0,12
"44, [31, 35]",9.0,10
"5, [39, 41]",2.0,8
"10, [24, 26]",4.0,17
"11, [40, 45]",2.0,20
"2, [44, 44]",2.0,12
"72, [34, 37]",1.0,11
"8, [13, 16]",4.0,19
"12, [24, 28]",5.0,5
"9, [17, 21]",2.0,13
"14, [23, 25]",5.0,8
"4, [3, 8]",1.0,17
"4, [48, 50]",2.0,19
"1, [10, 12]",1.0,18
"2, [30, 30]",4.0,14
"13, [46, 50]",3.0,14
"18, [44, 46]",6.0,15
"23, [15, 17]",13.0,6
"4, [2, 3]",2.0,11
"4, [20, 25]",1.0,13
"21, [19, 22]",7.0,19
"8, [46, 47]",5.0,18
"4, [16, 16]",12.0,12
"22, [18, 21]",9.0,6
"2, [39, 41]",1.0,10
"1, [10, 10]",1.0,8
"62, [41, 44]",2.0,13
"103, [3, 5]",4.0,13
"18, [43, 46]",6.0,9
"4, [37, 40]",1.0,
"8, [41, 44]",2.0,
"3, [27, 31]",1.0,
"130, [15, 16]",18.0,
"65, [40, 44]",1.0,
"12, [45, 48]",6.0,
"6, [24, 29]",2.0,
"3, [10, 12]",1.0,
"3, [1, 1]",9.0,
"8, [42, 47]",6.0,
"3, [12, 14]",1.0,
"3, [41, 45]",1.0,
"13, [42, 46]",4.0,
"5, [39, 42]",2.0,
"11, [13, 19]",4.0,
"3, [11, 13]",1.0,
"42, [15, 20]",18.0,
"6, [48, 49]",3.0,
"26, [37, 42]",10.0,
"44, [6, 8]",22.0,
"6, [45, 48]",2.0,
"7, [13, 17]",2.0,
"3, [30, 32]",1.0,
"128, [10, 11]",1.0,
"19, [29, 32]",10.0,
"3, [39, 43]",1.0,
"125, [5, 11]",11.0,
"9, [31, 34]",5.0,
"28, [43, 48]",5.0,
"2, [34, 37]",1.0,
"19, [31, 35]",8.0,
"28, [19, 23]",9.0,
"2, [38, 40]",2.0,
"3, [2, 2]",3.0,
"2, [11, 12]",1.0,
"115, [13, 18]",3.0,
"92, [27, 28]",1.0,
"6, [23, 26]",3.0,
"12, [8, 14]",3.0,
"2, [39, 42]",1.0,
"13, [29, 32]",6.0,
"14, [8, 12]",4.0,
"14, [23, 29]",4.0,
"2, [39, 39]",2.0,
"4, [34, 39]",1.0,
"1, [28, 28]",1.0,
"94, [9, 12]",2.0,
"3, [10, 13]",1.0,
"11, [13, 18]",3.0,
"22, [1, 3]",9.0,
"4, [33, 36]",1.0,
"2, [24, 27]",1.0,
"74, [25, 28]",2.0,
"4, [13, 13]",4.0,
"35, [42, 46]",1.0,
"33, [17, 18]",2.0,
"6, [21, 22]",3.0,
"49, [31, 34]",10.0,
"1, [19, 19]",1.0,
"36, [15, 17]",16.0,
"6, [46, 49]",4.0,
"36, [16, 22]",11.0,
"21, [20, 23]",6.0,
"29, [33, 37]",1.0,
"5, [47, 50]",2.0,
"12, [20, 21]",9.0,
"6, [8, 11]",4.0,
"114, [14, 20]",20.0,
"12, [22, 25]",5.0,
"1, [43, 43]",1.0,
"53, [24, 27]",3.0,
"100, [39, 41]",2.0,
"64, [20, 23]",3.0,
"11, [31, 32]",11.0,
"4, [24, 29]",1.0,
"56, [2, 3]",3.0,
"2, [40, 40]",2.0,
"102, [7, 13]",4.0,
"3, [36, 38]",1.0,
"3, [8, 10]",2.0,
"3, [34, 36]",1.0,
"88, [17, 19]",3.0,
"94, [35, 35]",1.0,
"44, [37, 40]",13.0,
"19, [30, 33]",7.0,
"28, [26, 27]",1.0,
"13, [46, 50]",4.0,
"16, [47, 50]",5.0,
"2, [27, 30]",1.0,
"19, [17, 21]",10.0,
"25, [30, 34]",11.0,
"40, [30, 34]",8.0,
"68, [29, 35]",11.0,
"40, [30, 36]",10.0,
"3, [22, 26]",1.0,
"1, [27, 28]",1.0,
"1, [6, 7]",1.0,
"123, [42, 45]",1.0,
"44, [10, 11]",1.0,
"3, [12, 14]",1.0,
"121, [39, 50]",2.0,
"22, [3, 14]",2.0,
"29, [21, 32]",5.0,
"34, [9, 20]",3.0,
"20, [25, 36]",3.0,
