bidding_profile,contribution,demand
"4, [41, 41]",1.0,15
"11, [46, 49]",5.0,7
"6, [14, 15]",7.0,12
"4, [44, 47]",2.0,14
"1, [3, 3]",2.0,12
"3, [13, 14]",3.0,11
"8, [35, 39]",2.0,9
"26, [12, 17]",11.0,5
"6, [1, 4]",3.0,6
"6, [20, 23]",4.0,12
"31, [12, 14]",7.0,20
"21, [3, 6]",1.0,7
"13, [21, 25]",4.0,19
"6, [1, 3]",3.0,18
"3, [25, 27]",1.0,11
"11, [39, 42]",3.0,17
"5, [46, 46]",8.0,20
"40, [42, 45]",3.0,17
"2, [5, 6]",1.0,12
"4, [23, 28]",2.0,9
"53, [39, 42]",3.0,5
"2, [22, 25]",1.0,8
"5, [41, 43]",3.0,18
"3, [38, 40]",1.0,12
"5, [8, 14]",1.0,10
"12, [17, 20]",4.0,19
"2, [50, 50]",2.0,6
"12, [1, 6]",5.0,12
"8, [18, 19]",4.0,8
"2, [35, 38]",1.0,19
"29, [39, 45]",2.0,9
"15, [39, 43]",1.0,19
"5, [16, 18]",3.0,15
"19, [46, 50]",4.0,19
"6, [35, 40]",1.0,18
"29, [14, 18]",10.0,19
"1, [6, 6]",1.0,10
"2, [9, 13]",1.0,20
"7, [39, 42]",2.0,19
"9, [22, 27]",3.0,13
"4, [36, 36]",4.0,12
"60, [42, 46]",2.0,13
"12, [6, 11]",4.0,20
"3, [8, 11]",1.0,12
"16, [45, 48]",2.0,13
"14, [33, 35]",10.0,19
"2, [40, 42]",2.0,7
"20, [23, 24]",1.0,14
"11, [37, 42]",5.0,12
"64, [2, 4]",2.0,13
"38, [19, 20]",4.0,
"1, [16, 16]",1.0,
"66, [44, 47]",2.0,
"8, [48, 50]",4.0,
"35, [40, 44]",3.0,
"54, [14, 18]",10.0,
"4, [34, 37]",1.0,
"6, [24, 29]",1.0,
"17, [31, 34]",6.0,
"62, [15, 16]",3.0,
"3, [22, 23]",2.0,
"1, [37, 38]",1.0,
"3, [5, 6]",2.0,
"61, [5, 7]",4.0,
"10, [4, 7]",4.0,
"32, [40, 44]",2.0,
"21, [34, 38]",5.0,
"41, [13, 19]",10.0,
"7, [13, 13]",9.0,
"14, [40, 45]",3.0,
"6, [25, 31]",1.0,
"5, [47, 47]",6.0,
"59, [1, 6]",1.0,
"5, [6, 8]",4.0,
"8, [10, 14]",2.0,
"9, [27, 30]",6.0,
"7, [29, 30]",5.0,
"19, [29, 29]",1.0,
"3, [42, 42]",3.0,
"5, [48, 50]",3.0,
"50, [24, 30]",1.0,
"16, [11, 14]",6.0,
"25, [8, 11]",1.0,
"2, [23, 28]",1.0,
"14, [16, 22]",5.0,
"2, [9, 12]",1.0,
"1, [14, 14]",1.0,
"16, [46, 48]",8.0,
"8, [1, 5]",2.0,
"2, [4, 5]",3.0,
"4, [5, 6]",4.0,
"13, [26, 27]",8.0,
"6, [38, 38]",6.0,
"5, [25, 29]",1.0,
"8, [12, 15]",3.0,
"5, [14, 18]",2.0,
"15, [41, 46]",3.0,
"1, [21, 21]",1.0,
"24, [30, 30]",25.0,
"12, [34, 37]",7.0,
"2, [7, 9]",1.0,
"66, [14, 18]",7.0,
"4, [8, 13]",1.0,
"2, [40, 42]",1.0,
"3, [43, 44]",2.0,
"2, [17, 17]",3.0,
"4, [47, 50]",1.0,
"5, [18, 21]",3.0,
"26, [12, 17]",8.0,
"2, [17, 17]",2.0,
"27, [38, 43]",7.0,
"18, [3, 5]",4.0,
"8, [49, 50]",4.0,
"6, [8, 14]",1.0,
"2, [36, 36]",2.0,
"8, [4, 5]",4.0,
"13, [23, 27]",4.0,
"3, [9, 11]",1.0,
"1, [24, 26]",1.0,
"2, [13, 14]",1.0,
"9, [20, 24]",3.0,
"10, [15, 17]",8.0,
"4, [27, 28]",3.0,
"20, [46, 50]",7.0,
"36, [42, 45]",3.0,
"25, [11, 14]",11.0,
"3, [1, 4]",2.0,
"10, [10, 15]",2.0,
"9, [19, 21]",3.0,
"8, [1, 5]",2.0,
"1, [20, 22]",1.0,
"6, [48, 50]",2.0,
"11, [39, 44]",2.0,
"12, [2, 4]",6.0,
"1, [10, 12]",1.0,
"14, [4, 9]",4.0,
"6, [45, 50]",1.0,
"3, [39, 42]",1.0,
"16, [36, 39]",5.0,
"11, [1, 3]",4.0,
"16, [33, 36]",4.0,
"12, [28, 30]",5.0,
"18, [38, 40]",6.0,
"2, [45, 49]",1.0,
"7, [40, 45]",2.0,
"54, [24, 27]",1.0,
"9, [10, 16]",2.0,
"7, [43, 46]",2.0,
"44, [26, 28]",12.0,
"7, [18, 22]",3.0,
"8, [24, 35]",1.0,
"22, [38, 49]",2.0,
"51, [26, 37]",5.0,
"11, [39, 50]",2.0,
"65, [1, 12]",6.0,
