bidding_profile,contribution,demand
"4, [1, 2]",1.0,18
"4, [7, 10]",1.0,10
"2, [3, 3]",4.0,18
"18, [7, 8]",3.0,12
"2, [4, 5]",3.0,19
"5, [3, 5]",2.0,14
"31, [4, 4]",1.0,19
"1, [7, 7]",4.0,12
"9, [1, 3]",7.0,12
"9, [3, 5]",5.0,6
"4, [7, 10]",1.0,
"15, [3, 5]",5.0,
"22, [8, 8]",1.0,
"7, [1, 3]",7.0,
"21, [5, 7]",13.0,
"3, [8, 10]",1.0,
"15, [1, 3]",11.0,
"2, [3, 4]",1.0,
"10, [2, 3]",5.0,
"26, [7, 8]",2.0,
"2, [6, 8]",2.0,
"23, [7, 10]",2.0,
"4, [3, 3]",4.0,
"3, [3, 5]",3.0,
"14, [8, 9]",1.0,
"3, [4, 4]",2.0,
"12, [5, 8]",7.0,
"4, [7, 8]",2.0,
"13, [1, 4]",9.0,
"23, [9, 10]",17.0,
"13, [6, 10]",3.0,
