bidding_profile,contribution,demand
"4, [11, 14]",1.0,12
"10, [3, 8]",3.0,17
"26, [16, 20]",7.0,10
"3, [19, 20]",2.0,6
"45, [1, 2]",4.0,15
"75, [3, 6]",2.0,10
"1, [9, 9]",4.0,20
"101, [19, 20]",2.0,7
"64, [9, 10]",1.0,6
"24, [9, 13]",7.0,11
"2, [18, 18]",3.0,16
"21, [3, 5]",7.0,10
"2, [1, 4]",1.0,13
"11, [8, 9]",11.0,20
"1, [14, 16]",1.0,7
"4, [12, 13]",2.0,19
"14, [1, 3]",5.0,5
"2, [13, 17]",1.0,14
"6, [1, 2]",3.0,8
"20, [1, 6]",4.0,14
"5, [12, 14]",2.0,
"11, [1, 3]",3.0,
"4, [5, 6]",3.0,
"12, [2, 3]",7.0,
"10, [14, 17]",9.0,
"1, [20, 20]",1.0,
"9, [5, 10]",2.0,
"14, [12, 18]",2.0,
"8, [1, 4]",5.0,
"6, [6, 11]",1.0,
"72, [8, 13]",1.0,
"4, [15, 16]",2.0,
"7, [17, 19]",3.0,
"91, [1, 2]",2.0,
"7, [15, 16]",7.0,
"72, [7, 11]",21.0,
"1, [11, 12]",1.0,
"2, [13, 16]",1.0,
"2, [19, 20]",1.0,
"4, [11, 15]",1.0,
"3, [12, 13]",2.0,
"6, [18, 20]",3.0,
"12, [16, 20]",6.0,
"15, [3, 5]",4.0,
"7, [4, 9]",2.0,
"7, [9, 12]",2.0,
"2, [12, 13]",2.0,
"3, [6, 11]",1.0,
"2, [10, 14]",1.0,
"3, [1, 7]",1.0,
"2, [5, 9]",1.0,
"34, [14, 16]",17.0,
"5, [5, 11]",1.0,
"7, [16, 19]",3.0,
"1, [20, 20]",3.0,
"3, [11, 16]",1.0,
"4, [11, 15]",1.0,
"101, [1, 2]",1.0,
"46, [17, 20]",3.0,
"1, [1, 1]",3.0,
"4, [6, 13]",1.0,
