bidding_profile,contribution,demand
"1, [14, 15]",1.0,11
"2, [12, 15]",1.0,5
"2, [1, 1]",2.0,10
"1, [19, 19]",3.0,7
"12, [4, 9]",2.0,10
"126, [16, 20]",1.0,8
"1, [12, 14]",1.0,10
"32, [9, 10]",28.0,18
"154, [17, 17]",6.0,13
"1, [7, 9]",1.0,17
"16, [10, 12]",8.0,16
"169, [13, 16]",1.0,12
"2, [15, 17]",1.0,13
"3, [3, 6]",1.0,9
"9, [2, 5]",4.0,14
"28, [1, 4]",3.0,13
"4, [13, 17]",1.0,17
"3, [5, 11]",1.0,10
"3, [12, 14]",1.0,10
"2, [6, 7]",1.0,20
"12, [1, 3]",4.0,
"8, [18, 20]",8.0,
"12, [2, 6]",4.0,
"3, [3, 4]",3.0,
"72, [14, 17]",1.0,
"5, [3, 5]",2.0,
"2, [1, 1]",4.0,
"79, [9, 9]",7.0,
"4, [12, 15]",1.0,
"62, [16, 17]",1.0,
"74, [6, 11]",2.0,
"22, [1, 6]",4.0,
"12, [1, 6]",3.0,
"4, [7, 13]",1.0,
"2, [7, 10]",1.0,
"3, [9, 12]",1.0,
"146, [4, 5]",1.0,
"3, [12, 17]",1.0,
"1, [15, 17]",1.0,
"1, [18, 20]",1.0,
"4, [16, 19]",1.0,
"10, [1, 5]",3.0,
"23, [1, 6]",5.0,
"18, [2, 7]",4.0,
"6, [4, 7]",2.0,
"4, [17, 19]",2.0,
"171, [8, 12]",35.0,
"6, [1, 4]",4.0,
"111, [10, 16]",26.0,
"2, [7, 9]",1.0,
"154, [5, 7]",2.0,
"26, [10, 11]",18.0,
"8, [19, 20]",4.0,
"1, [7, 7]",1.0,
"9, [4, 7]",3.0,
"3, [18, 20]",2.0,
"136, [12, 15]",1.0,
"1, [6, 8]",1.0,
"55, [16, 20]",1.0,
"6, [1, 2]",4.0,
